canonicalName,catalogNum,collectionCode,collectionDate,collector,guid,institutionCode,latitude,localId,longitude,modTime,providerName,resourceName
Acacia cornigera,ACCO5-12103,USDA Plants,,,http://data.gbif.org/ws/rest/occurrence/get/28793792,USDA NRCS,27.9026,141146023,-82.739,2009-03-04 21:47:24,USDA PLANTS,USDA PLANTS Database
Acacia cornigera,19419,Herbario Nacional de Costa Rica (CR),,"Brenes, Alberto Manuel",http://data.gbif.org/ws/rest/occurrence/get/44041500,Museo Nacional de Costa Rica (MNCR),9.85,208929704,-84.7,2009-03-09 10:58:29,Museo Nacional de Costa Rica,herbario
Acacia cornigera,23323,Herbario Nacional de Costa Rica (CR),,"Quirós, Manuel",http://data.gbif.org/ws/rest/occurrence/get/44041613,Museo Nacional de Costa Rica (MNCR),9.91,208929705,-84.25,2009-03-09 10:58:29,Museo Nacional de Costa Rica,herbario
Acacia cornigera,24015,Herbario Nacional de Costa Rica (CR),,"Solís, Fernando",http://data.gbif.org/ws/rest/occurrence/get/44041652,Museo Nacional de Costa Rica (MNCR),9.93,208929706,-84.18,2009-03-09 10:58:29,Museo Nacional de Costa Rica,herbario
Acacia cornigera,146116,Herbario Nacional de Costa Rica (CR),,"Wallace, B. J.",http://data.gbif.org/ws/rest/occurrence/get/44043681,Museo Nacional de Costa Rica (MNCR),10.16,208929707,-85.16,2009-03-09 10:58:34,Museo Nacional de Costa Rica,herbario
Acacia cornigera,170622,Herbario Nacional de Costa Rica (CR),,"Chavarría, Ulises",http://data.gbif.org/ws/rest/occurrence/get/44043856,Museo Nacional de Costa Rica (MNCR),10.35,208929708,-85.35,2009-03-09 10:58:35,Museo Nacional de Costa Rica,herbario
Acacia cornigera,MEXU-10171,MEXU,1978-12-17 00:00:00,"M. L. Rico A., P. Basurto",http://data.gbif.org/ws/rest/occurrence/get/145209559,Not recorded,16.637,208929709,-95.246,2010-06-16 14:40:13,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,MEXU-269b,MEXU,1958-06-30 00:00:00,R. M. King,http://data.gbif.org/ws/rest/occurrence/get/145209538,Not recorded,16.327,208929710,-95.235,2010-06-16 14:40:11,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,515132,MEXU,1985-05-25 00:00:00,E. Gutiérrez,http://data.gbif.org/ws/rest/occurrence/get/145209186,Not recorded,19.785,208929711,-87.619,2010-06-16 14:40:06,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,403387,MEXU,1982-05-10 00:00:00,"M. Sousa S., E. F. Cabrera C., G. Davidse, A. O. Chater",http://data.gbif.org/ws/rest/occurrence/get/145209179,Not recorded,18.208,208929712,-91.765,2010-06-16 14:40:06,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,319986,MEXU,1966-06-25 00:00:00,D. H. Janzen,http://data.gbif.org/ws/rest/occurrence/get/145209047,Not recorded,19.812,208929713,-90.361,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,155697,MEXU,1980-09-05 00:00:00,"O. Téllez V., E. F. Cabrera C., M. L. Rico A.",http://data.gbif.org/ws/rest/occurrence/get/145209046,Not recorded,18.272,208929714,-89.033,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,276162,MEXU,1987-07-26 00:00:00,"E. F. Cabrera C., H. de Cabrera",http://data.gbif.org/ws/rest/occurrence/get/145209045,Not recorded,20.406,208929715,-90.24,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,508330,MEXU,1980-03-06 00:00:00,"D. S. Seigler, P. M. Richardson, S. Thompson",http://data.gbif.org/ws/rest/occurrence/get/145209044,Not recorded,18.486,208929716,-89.242,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,287014,MEXU,1980-05-06 00:00:00,"D. S. Seigler, P. M. Richardson, S. Thompson",http://data.gbif.org/ws/rest/occurrence/get/145209043,Not recorded,19.786,208929717,-90.239,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,428483,MEXU,1980-11-01 00:00:00,"A. Novelo R., C. Zetina",http://data.gbif.org/ws/rest/occurrence/get/145209042,Not recorded,19.765,208929718,-90.496,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,275335,MEXU,1980-07-08 00:00:00,"O. Téllez V., E. F. Cabrera C.",http://data.gbif.org/ws/rest/occurrence/get/145209041,Not recorded,19.381,208929719,-88.558,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,428429,MEXU,1980-05-22 00:00:00,"M. A. Pantí G., M. Sousa S.",http://data.gbif.org/ws/rest/occurrence/get/145209040,Not recorded,19.881,208929720,-90.479,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,278587,MEXU,1980-06-07 00:00:00,"O. Téllez V., E. F. Cabrera C.",http://data.gbif.org/ws/rest/occurrence/get/145209039,Not recorded,18.644,208929721,-88.417,2010-06-16 14:40:03,Comisión nacional para el conocimiento y uso de la biodiversidad,"Árboles de la Península de Yucatán, Flora del Distrito de Tehuantepec, Oaxaca y Familia Asteraceae en México (IBUNAM)"
Acacia cornigera,54637,BISH,1929-07-15 00:00:00,"Lyon, H.L.",http://data.gbif.org/ws/rest/occurrence/get/34582054,BPBM,21.3616,208929722,-157.849,2009-10-28 16:41:20,Bernice Pauahi Bishop Museum,Bishop Museum Natural Sciences Data
Acacia cornigera,1564018,Plantae,1993-02-12 00:00:00,"Chavarria, Ulises",http://data.gbif.org/ws/rest/occurrence/get/6648340,INB      ,10.3569,208929723,-85.3569,2009-11-05 10:55:17,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,2848782,Plantae,1999-12-07 00:00:00,"Chaves, Jose Luis",http://data.gbif.org/ws/rest/occurrence/get/6648996,INB      ,10.3653,208929724,-85.3778,2009-11-05 10:55:22,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,2848783,Plantae,1999-12-07 00:00:00,"Chaves, Jose Luis",http://data.gbif.org/ws/rest/occurrence/get/6648997,INB      ,10.3653,208929725,-85.3778,2009-11-05 10:55:22,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3903993,Plantae,2004-03-06 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656070,INB      ,10.1197,208929726,-85.33,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3903994,Plantae,2004-03-06 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656071,INB      ,10.1197,208929727,-85.33,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3903995,Plantae,2004-03-06 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656072,INB      ,10.1197,208929728,-85.33,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3940497,Plantae,2005-03-18 00:00:00,"Soto, Armando",http://data.gbif.org/ws/rest/occurrence/get/6656113,INB      ,9.93886,208929729,-84.8941,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3940498,Plantae,2005-03-18 00:00:00,"Soto, Armando",http://data.gbif.org/ws/rest/occurrence/get/6656114,INB      ,9.93886,208929730,-84.8941,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3973991,Plantae,2004-07-28 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656141,INB      ,10.3212,208929731,-85.3499,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3973992,Plantae,2004-07-28 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656142,INB      ,10.3212,208929732,-85.3499,2009-11-05 10:55:25,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3973993,Plantae,2004-07-28 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656143,INB      ,10.3212,208929733,-85.3499,2009-11-05 10:55:26,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3973994,Plantae,2004-07-28 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656144,INB      ,10.3212,208929734,-85.3499,2009-11-05 10:55:26,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3973995,Plantae,2004-07-28 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656145,INB      ,10.3212,208929735,-85.3499,2009-11-05 10:55:26,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,3974016,Plantae,2004-08-17 00:00:00,"Gonzalez, Luis",http://data.gbif.org/ws/rest/occurrence/get/6656146,INB      ,10.1107,208929736,-85.1733,2009-11-05 10:55:26,Instituto Nacional de Biodiversidad (Costa Rica),Biodiversidad de Costa Rica
Acacia cornigera,215032,NSW,1988-05-01 00:00:00,,http://data.gbif.org/ws/rest/occurrence/get/153252036,NSW,10.2,208929737,-85.1,,National Herbarium of New South Wales,NSW herbarium collection
Acacia cornigera,552647,NY,1991-05-21 00:00:00,D. S. Seigler & J. E. Ebinger & H. D. Clarke & K. Readel,http://data.gbif.org/ws/rest/occurrence/get/145068133,Not recorded,18.663,208929738,-96.428,2010-06-16 12:33:54,Comisión nacional para el conocimiento y uso de la biodiversidad,Programa de repatriación de datos de ejemplares mexicanos
Acacia cornigera,552648,NY,1910-05-23 00:00:00,E. Palmer,http://data.gbif.org/ws/rest/occurrence/get/145068135,Not recorded,22.181,208929739,-97.947,2010-06-16 12:33:54,Comisión nacional para el conocimiento y uso de la biodiversidad,Programa de repatriación de datos de ejemplares mexicanos
Acacia cornigera,552649,NY,1917-10-07 00:00:00,C. A. Purpus,http://data.gbif.org/ws/rest/occurrence/get/145068141,Not recorded,20.432,208929740,-98.349,2010-06-16 12:33:54,Comisión nacional para el conocimiento y uso de la biodiversidad,Programa de repatriación de datos de ejemplares mexicanos
Acacia cornigera,552651,NY,1983-01-05 00:00:00,G. Ibarra M.,http://data.gbif.org/ws/rest/occurrence/get/145068148,Not recorded,18.567,208929741,-95.067,2010-06-16 12:33:54,Comisión nacional para el conocimiento y uso de la biodiversidad,Programa de repatriación de datos de ejemplares mexicanos
Acacia cornigera,552652,NY,1984-04-27 00:00:00,G. Ibarra M. & S. Sinaca C. & G. Gómez V.,http://data.gbif.org/ws/rest/occurrence/get/145068149,Not recorded,18.567,208929742,-95.067,2010-06-16 12:33:54,Comisión nacional para el conocimiento y uso de la biodiversidad,Programa de repatriación de datos de ejemplares mexicanos
