Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.57867E-10,0.000000016,0.000000062,1,0,0
1.72645E-10,0.000000033,0.000000068,0.999902239,0,0
1.81772E-10,0.000000104,0.000000072,0.999511194,0,0
1.99387E-10,0.000000257,0.000000079,0.998729104,0,0
3.33273E-10,0.000001026,0.000000132,0.995894027,0,0
4.1618E-10,0.000002524,0.000000165,0.991983576,0,0
1.60475E-9,0.000010131,0.000000635,0.983673868,0,0
2.2916E-9,0.000025117,0.000000906,0.976146251,0,0
2.95145E-9,0.000050089,0.000001167,0.966956692,0,0
3.7162E-9,0.000100016,0.00000147,0.952292502,0,0
1.03272E-8,0.000250843,0.000004084,0.927265617,0,0
1.31184E-8,0.000500847,0.000005188,0.90663799,0,0
1.88931E-8,0.001001866,0.000007472,0.876038713,0,0
3.32924E-8,0.00250014,0.000013167,0.817675237,0,0
5.41917E-8,0.00500417,0.000021432,0.762635644,0,0
7.9486E-8,0.010005646,0.000031435,0.688043797,0,0
1.63358E-7,0.025003331,0.000064603,0.562909375,0,0
2.9177E-7,0.050027399,0.00011538,0.450190634,0,0
6.34272E-7,0.100013816,0.000250788,0.338938313,0,0
1.40777E-6,0.200044526,0.000556455,0.234235996,0,0
2.56199E-6,0.300091138,0.001012228,0.182520285,0,0
3.89747E-6,0.400363532,0.001539054,0.151921009,0,0
5.20461E-6,0.500495401,0.002054164,0.130218008,0,0
6.70173E-6,0.600147317,0.002643488,0.113794115,0,0
8.28872E-6,0.700094611,0.00326743,0.100596344,0,0
9.309E-6,0.750040046,0.003668148,0.095023952,0.004366812,0
1.0746E-5,0.800079603,0.004231977,0.090135888,0.004366812,0
1.36289E-5,0.90080022,0.005361236,0.082021703,0.004366812,0
1.67987E-5,1.000228119,0.00659993,0.075569459,0.004366812,0
2.20606E-5,1.100656422,0.008649355,0.070485873,0.004366812,0
2.73996E-5,1.20041718,0.010720227,0.066575423,0.008733624,0
3.46794E-5,1.30221652,0.013529915,0.063447062,0.008733624,0
4.03142E-5,1.403511449,0.015693805,0.060807508,0.008733624,0
4.91644E-5,1.503231222,0.019073344,0.05865676,0.008733624,0
6.97171E-5,1.753025524,0.026832838,0.054550787,0.008733624,0
8.5287E-5,2.00818599,0.032629867,0.051324665,0.008733624,0
1.06506E-4,2.25097045,0.040419798,0.048782872,0.008733624,0
1.29301E-4,2.503069126,0.048650043,0.046729886,0.008733624,0
1.49842E-4,2.763809051,0.055946296,0.044872422,0.008733624,0
1.73041E-4,3.003550693,0.06405305,0.043406003,0.008733624,0
1.91257E-4,3.26269782,0.070321931,0.042037345,0.013100437,0
2.20013E-4,3.509746578,0.080048456,0.04086421,0.013100437,0
2.33291E-4,3.757910597,0.084471551,0.039788836,0.013100437,0
2.55444E-4,4.002109254,0.091756685,0.038811223,0.013100437,0
2.74667E-4,4.270134043,0.097985047,0.03783361,0.013100437,0
2.9868E-4,4.500851206,0.105646502,0.03705152,0.013100437,0
3.27959E-4,4.754253728,0.11481392,0.03626943,0.013100437,0
3.77772E-4,5.000635283,0.129985756,0.035585101,0.017467249,0
4.04408E-4,5.276889858,0.137887144,0.034900772,0.017467249,0
4.4133E-4,5.532197392,0.148605268,0.034314205,0.017467249,0
4.67866E-4,5.757606067,0.156145372,0.033825398,0.017467249,0
4.90003E-4,6.04771946,0.162333952,0.033238831,0.021834061,0
5.0224E-4,6.295856147,0.165716337,0.032750024,0.021834061,0
5.35844E-4,6.50369931,0.174865242,0.032358979,0.021834061,0
5.4628E-4,6.774901768,0.177665828,0.031870173,0.021834061,0
5.86587E-4,7.004747208,0.188306131,0.031479128,0.026200873,0
6.21744E-4,7.307671192,0.197364754,0.030990322,0.026200873,0
6.45074E-4,7.559722073,0.203265343,0.030599277,0.026200873,0
6.80966E-4,7.761193947,0.212175329,0.030305993,0.030567686,0
7.64363E-4,8.051431239,0.232128381,0.029914948,0.030567686,0
8.21377E-4,8.292122822,0.245197373,0.029621664,0.030567686,0
9.12652E-4,8.558100071,0.265218317,0.02932838,0.030567686,0
9.61638E-4,8.839272791,0.275531431,0.029035096,0.034934498,0
9.78573E-4,9.03339014,0.27902982,0.028839574,0.034934498,0
1.02269E-3,9.335842867,0.287987074,0.02854629,0.034934498,0
1.06693E-3,9.548053975,0.29674663,0.028350767,0.03930131,0
1.09692E-3,9.76521149,0.30256583,0.028155245,0.043668122,0
1.2182E-3,10.007846212,0.325140637,0.027959722,0.048034934,0
1.2547E-3,10.258290091,0.331651941,0.0277642,0.048034934,0
1.33208E-3,10.521807173,0.345048645,0.027568677,0.056768559,0
1.34961E-3,10.79024601,0.348009342,0.027373155,0.065502183,0
1.36266E-3,11.062740423,0.350195484,0.027177632,0.069868996,0
1.39022E-3,11.338650362,0.354766142,0.02698211,0.074235808,0
1.40351E-3,11.618482715,0.35694601,0.026786587,0.082969432,0
1.41922E-3,11.760405165,0.359505996,0.026688826,0.087336245,0
1.44041E-3,12.048153832,0.362925196,0.026493303,0.087336245,0
1.51687E-3,12.350770842,0.374965799,0.026297781,0.091703057,0
1.58679E-3,12.509449923,0.385585724,0.02620002,0.096069869,0
1.60349E-3,12.829044496,0.388069515,0.026004497,0.100436681,0
1.61846E-3,13.152695893,0.39027847,0.025808974,0.104803493,0
1.62192E-3,13.314887511,0.390785592,0.025711213,0.104803493,0
1.66822E-3,13.647329551,0.397506988,0.025515691,0.109170306,0
1.69762E-3,13.817091915,0.401699201,0.025417929,0.109170306,0
1.75706E-3,14.168371085,0.40999707,0.025222407,0.109170306,0
1.76282E-3,14.344652661,0.410788407,0.025124646,0.109170306,0
1.78382E-3,14.523034633,0.413658283,0.025026884,0.113537118,0
1.80101E-3,14.881910895,0.415985755,0.024831362,0.122270742,0
1.8188E-3,15.063791021,0.418376433,0.024733601,0.126637555,0
1.88097E-3,15.437666774,0.426577255,0.024538078,0.131004367,0
1.91963E-3,15.629629881,0.431560672,0.024440317,0.135371179,0
1.94862E-3,15.824491605,0.435240928,0.024342555,0.135371179,0
1.96092E-3,16.020583788,0.436788823,0.024244794,0.135371179,0
2.06589E-3,16.427144446,0.449656569,0.024049272,0.139737991,0
2.07351E-3,16.634495816,0.450568277,0.02395151,0.144104803,0
2.091E-3,16.843595867,0.452648122,0.023853749,0.144104803,0
2.11231E-3,17.054826777,0.455161334,0.023755988,0.148471616,0
2.12993E-3,17.267819734,0.45722219,0.023658227,0.148471616,0
2.13414E-3,17.694573721,0.45771222,0.023462704,0.152838428,0
2.14259E-3,17.90883236,0.458692911,0.023364943,0.15720524,0
2.15415E-3,18.124247271,0.460029548,0.023267182,0.15720524,0
2.16467E-3,18.340714397,0.461240173,0.02316942,0.15720524,0
2.17161E-3,18.557875498,0.46203566,0.023071659,0.161572052,0
2.19321E-3,18.777196605,0.464496654,0.022973898,0.161572052,0
2.21349E-3,19.217902572,0.466786564,0.022778375,0.170305677,0
2.21427E-3,19.439329789,0.466874658,0.022680614,0.174672489,0
2.21578E-3,19.660907986,0.467044317,0.022582853,0.174672489,0
2.21636E-3,19.882544377,0.467109683,0.022485091,0.179039301,0
2.22337E-3,20.104881346,0.467895337,0.02238733,0.183406114,0
2.27813E-3,20.332694492,0.473957607,0.022289569,0.183406114,0
2.29887E-3,20.562581304,0.476217306,0.022191808,0.187772926,0
2.30055E-3,20.792636412,0.476399849,0.022094046,0.187772926,0
2.31038E-3,21.02367452,0.477463526,0.021996285,0.187772926,0
2.31069E-3,21.254743653,0.477497027,0.021898524,0.192139738,0
2.34334E-3,21.722112992,0.480998959,0.021703001,0.19650655,0
2.37976E-3,21.960088912,0.484849591,0.02160524,0.19650655,0
2.38025E-3,22.198113987,0.484901177,0.021507479,0.200873362,0
2.38104E-3,22.436217864,0.484983856,0.021409717,0.200873362,0
2.3986E-3,22.67607811,0.486819745,0.021311956,0.200873362,0
2.40529E-3,22.916606877,0.487515099,0.021214195,0.205240175,0
2.44209E-3,23.160815391,0.491309061,0.021116434,0.205240175,0
2.4421E-3,23.405025291,0.49131048,0.021018672,0.209606987,0
2.44472E-3,23.649497725,0.491579016,0.020920911,0.209606987,0
2.44832E-3,23.894329753,0.49194637,0.02082315,0.209606987,0
2.45062E-3,24.139392021,0.4921813,0.020725389,0.213973799,0
2.45101E-3,24.384493336,0.492221121,0.020627627,0.218340611,0
2.4618E-3,24.630673471,0.493318857,0.020529866,0.218340611,0
2.46749E-3,24.877422558,0.493895878,0.020432105,0.218340611,0
2.48627E-3,25.126049473,0.495791038,0.020334344,0.222707424,0
2.51731E-3,25.37777998,0.498892355,0.020236582,0.227074236,0
2.52605E-3,25.630384909,0.49975926,0.020138821,0.227074236,0
2.54712E-3,25.885096684,0.501835724,0.02004106,0.231441048,0
2.5482E-3,26.139917111,0.501942341,0.019943298,0.23580786,0
