Species, X, Y
Anisacanthus_thurberi, -108.500285709, 32.7760566926
Anisacanthus_thurberi, -111.0096, 31.4997
Anisacanthus_thurberi, -112.2, 30.77
Anisacanthus_thurberi, -109.564, 31.329
Anisacanthus_thurberi, -109.267, 28.3
Anisacanthus_thurberi, -111.617, 25.917
Anisacanthus_thurberi, -111.083, 31.55
Anisacanthus_thurberi, -113.751255068, 34.8232954969
Anisacanthus_thurberi, -110.863, 30.786
Anisacanthus_thurberi, -108.84, 27.4
Anisacanthus_thurberi, -109.7462, 32.7419
Anisacanthus_thurberi, -113.9535, 33.33
Anisacanthus_thurberi, -109.531, 32.9549
Anisacanthus_thurberi, -109.8287, 32.7615
Anisacanthus_thurberi, -110.8842, 31.7881
Anisacanthus_thurberi, -112.80833, 31.87917
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -111.17, 33.43
Anisacanthus_thurberi, -114.191, 33.2111
Anisacanthus_thurberi, -112.490919, 33.342656
Anisacanthus_thurberi, -110.79167, 31.51667
Anisacanthus_thurberi, -109.531, 32.9549
Anisacanthus_thurberi, -111.09167, 32.22
Anisacanthus_thurberi, -112.71667, 32.05833
Anisacanthus_thurberi, -110.81474, 32.19158
Anisacanthus_thurberi, -112.71667, 32.05833
Anisacanthus_thurberi, -112.763, 34.2017
Anisacanthus_thurberi, -110.68594, 32.20594
Anisacanthus_thurberi, -112.3658, 32.6734
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -110.3, 31.96667
Anisacanthus_thurberi, -111.748, 34.5636
Anisacanthus_thurberi, -107.748657, 32.18079
Anisacanthus_thurberi, -110.6083, 32.1505
Anisacanthus_thurberi, -111.2276, 33.7028
Anisacanthus_thurberi, -111.1826, 32.2787
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -110.70472, 32.43028
Anisacanthus_thurberi, -111.437, 33.3843
Anisacanthus_thurberi, -110.91869, 31.49819
Anisacanthus_thurberi, -111.09, 31.399
Anisacanthus_thurberi, -110.55, 32.90833
Anisacanthus_thurberi, -110.856, 30.744
Anisacanthus_thurberi, -108.845, 27.4
Anisacanthus_thurberi, -110.75, 30.321
Anisacanthus_thurberi, -112.2, 30.771
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -110.901, 33.386
Anisacanthus_thurberi, -109.8619, 32.7353
Anisacanthus_thurberi, -111.46667, 33.67917
Anisacanthus_thurberi, -113.1987, 34.3539
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -111.1267, 32.3254
Anisacanthus_thurberi, -110.6008, 32.1354
Anisacanthus_thurberi, -111.5132, 31.761
Anisacanthus_thurberi, -110.404, 31.5457
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -110.7709, 32.6109
Anisacanthus_thurberi, -109.1699, 31.9275
Anisacanthus_thurberi, -110.5929, 31.8956
Anisacanthus_thurberi, -102.0, 23.0
Anisacanthus_thurberi, -109.84306, 32.64083
Anisacanthus_thurberi, -110.392, 32.0578
Anisacanthus_thurberi, -110.8, 31.73333
Anisacanthus_thurberi, -110.806, 31.7639
Anisacanthus_thurberi, -110.835, 33.7613
Anisacanthus_thurberi, -111.0043, 32.2347
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -110.7288, 32.1699
Anisacanthus_thurberi, -110.756, 31.4959
Anisacanthus_thurberi, -108.98, 29.69
Anisacanthus_thurberi, -110.608333, 32.15
Anisacanthus_thurberi, -109.383, 28.492
Anisacanthus_thurberi, -110.874, 30.981
Anisacanthus_thurberi, -112.61666, 32.08333
Anisacanthus_thurberi, -109.1102778, 31.3125
Anisacanthus_thurberi, -111.786588595, 32.0987666284
Anisacanthus_thurberi, -110.69944, 32.32888
Anisacanthus_thurberi, -112.551855168, 34.5997246745
Anisacanthus_thurberi, -110.7666667, 28.7666667
Anisacanthus_thurberi, -108.981, 29.688
Anisacanthus_thurberi, -111.011, 28.629
Anisacanthus_thurberi, -109.6134, 32.1754
Anisacanthus_thurberi, -113.784, 34.9278
Anisacanthus_thurberi, -113.979016, 33.727923
Anisacanthus_thurberi, -108.711794, 31.916452
Anisacanthus_thurberi, -112.763, 34.2017
Anisacanthus_thurberi, -110.1775, 31.6625
Anisacanthus_thurberi, -111.467, 33.9077
Anisacanthus_thurberi, -111.501, 33.3809
Anisacanthus_thurberi, -111.417, 31.5747
Anisacanthus_thurberi, -110.809, 32.322
Anisacanthus_thurberi, -109.5851, 33.9106
Anisacanthus_thurberi, -112.70833, 32.025
Anisacanthus_thurberi, -110.7, 32.33333
Anisacanthus_thurberi, -111.318, 33.5258
Anisacanthus_thurberi, -110.404, 31.5457
Anisacanthus_thurberi, -111.862, 33.9626
Anisacanthus_thurberi, -111.5, 32.21667
Anisacanthus_thurberi, -109.843, 32.6408
Anisacanthus_thurberi, -110.926, 32.2217
Anisacanthus_thurberi, -110.214, 31.8186
Anisacanthus_thurberi, -110.2319, 31.3581
Anisacanthus_thurberi, -110.81512, 32.32412
Anisacanthus_thurberi, -111.814821, 32.10396
Anisacanthus_thurberi, -110.809, 32.322
Anisacanthus_thurberi, -110.809, 32.322
Anisacanthus_thurberi, -112.616, 32.4542
Anisacanthus_thurberi, -109.78833, 32.69833
Anisacanthus_thurberi, -110.705, 32.4303
Anisacanthus_thurberi, -110.6995, 32.4887
Anisacanthus_thurberi, -111.0096, 31.4997
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -113.0764, 32.1931
Anisacanthus_thurberi, -110.4007, 33.512
Anisacanthus_thurberi, -111.1391, 32.3447
Anisacanthus_thurberi, -113.2508, 34.4103
Anisacanthus_thurberi, -110.791667, 32.333333
Anisacanthus_thurberi, -110.809, 32.322
Anisacanthus_thurberi, -110.8687, 33.3992
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -110.809, 32.322
Anisacanthus_thurberi, -112.3658, 32.6734
Anisacanthus_thurberi, -112.492000804, 33.3482963308
Anisacanthus_thurberi, -111.0975, 32.22222
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -112.808333, 31.879167
Anisacanthus_thurberi, -110.2319, 31.3581
