Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.23551E-13,0.000000001,0,0.923053892,0,0
2.58878E-13,0.000000003,0,0.914870259,0,0
6.78219E-13,0.00000001,0,0.89750499,0,0
1.43714E-12,0.000000025,0,0.882834331,0,0
4.32019E-12,0.0000001,0.000000001,0.854790419,0,0
9.13909E-12,0.00000025,0.000000002,0.832035928,0,0
3.20056E-11,0.000001003,0.000000006,0.789221557,0,0
7.58278E-11,0.000002503,0.000000015,0.75998004,0,0
2.4919E-10,0.000010016,0.000000049,0.70988024,0,0
5.82286E-10,0.000025005,0.000000114,0.672055888,0,0
9.33761E-10,0.000050053,0.000000183,0.638223553,0,0
1.68783E-9,0.000100001,0.000000331,0.599800399,0,0
3.33206E-9,0.000250168,0.000000654,0.538323353,0,0
5.7429E-9,0.000500354,0.000001127,0.48253493,0,0
1.04401E-8,0.001000571,0.000002049,0.419161677,0,0
3.0192E-8,0.00250199,0.000005927,0.33502994,0,0
8.18256E-8,0.005005694,0.000016063,0.286926148,0,0
2.02891E-7,0.010002966,0.000039827,0.249001996,0,0
7.14265E-7,0.025000387,0.000140196,0.211976048,0,0
1.64191E-6,0.050069717,0.000322215,0.189520958,0,0
3.64017E-6,0.100278322,0.000714083,0.169560878,0,0
7.8896E-6,0.200353094,0.001546392,0.150998004,0,0
1.16901E-5,0.300761049,0.002289597,0.140618762,0,0
1.59416E-5,0.40070888,0.003119698,0.133333333,0,0
1.89837E-5,0.5007421,0.003712805,0.127644711,0,0
2.13463E-5,0.602021929,0.00417296,0.122654691,0,0
2.4105E-5,0.701608645,0.004709704,0.118263473,0,0
2.52277E-5,0.750783971,0.004927985,0.116267465,0,0
2.66121E-5,0.802648469,0.005196997,0.114271457,0,0
2.95276E-5,0.900530909,0.005763092,0.110778443,0,0
3.36146E-5,1.002095488,0.006555535,0.10758483,0,0
3.79506E-5,1.101959704,0.007394893,0.104790419,0,0
4.22332E-5,1.201484548,0.008222531,0.102295409,0,0
4.48381E-5,1.301854438,0.008725248,0.1,0,0
4.75708E-5,1.403821421,0.009252107,0.097804391,0,0
4.99684E-5,1.501500948,0.009713894,0.095808383,0,0
5.76681E-5,1.753871946,0.011193961,0.091117764,0,0
6.76333E-5,2.001789312,0.01310295,0.087125749,0,0
7.47143E-5,2.25152985,0.01445496,0.083632735,0,0
8.34383E-5,2.503074852,0.016115588,0.080439122,0,0
8.99095E-5,2.753839634,0.017343797,0.07754491,0,0
9.81383E-5,3.008656541,0.018901139,0.074850299,0,0
1.05445E-4,3.252923954,0.02027988,0.07245509,0,0
1.14632E-4,3.508338702,0.022007951,0.070159681,0,0
1.20469E-4,3.755776653,0.023102626,0.068063872,0,0
1.26529E-4,4.003378603,0.024236538,0.066067864,0,0
1.35345E-4,4.251349245,0.025881617,0.064171657,0,0
1.40536E-4,4.512979118,0.026847619,0.062275449,0,0
1.46761E-4,4.757266194,0.028003529,0.060578842,0,0
1.53453E-4,5.013291246,0.029242999,0.058882236,0,0
1.59577E-4,5.263674716,0.030374641,0.057285429,0,0
1.63919E-4,5.505833144,0.031175281,0.055788423,0,0
1.70829E-4,5.757300623,0.032446842,0.054291417,0,0
1.78362E-4,6.002469953,0.033829258,0.052894212,0,0
1.8479E-4,6.257409884,0.035005892,0.051497006,0,0
1.91484E-4,6.502547226,0.036227977,0.050199601,0,0
2.03363E-4,6.758359243,0.038389159,0.048902196,0,0
2.18332E-4,7.012666548,0.041098681,0.047704591,0,0
2.29793E-4,7.25968598,0.043163084,0.046606786,0,0
2.38389E-4,7.518080364,0.044705352,0.045508982,0,0
