Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.51815E-13,0.000000001,0,0.110277944,0,0
6.72014E-13,0.000000003,0,0.106578684,0,0
2.27324E-12,0.00000001,0,0.100679864,0,0
7.07469E-12,0.000000026,0,0.096780644,0,0
2.35296E-11,0.0000001,0,0.091781644,0,0
5.90789E-11,0.000000252,0.000000001,0.087982404,0,0
1.94189E-10,0.000001003,0.000000002,0.081983603,0,0
4.06307E-10,0.0000025,0.000000004,0.077184563,0,0
1.27658E-9,0.000010017,0.000000011,0.066786643,0,0
3.80224E-9,0.00002515,0.000000033,0.060187962,0,0
6.56156E-9,0.000050268,0.000000058,0.055388922,0,0
1.27168E-8,0.000100937,0.000000111,0.049890022,0,0
3.28388E-8,0.000251266,0.000000288,0.042291542,0,0
7.7292E-8,0.000504734,0.000000677,0.037492501,0,0
1.61707E-7,0.001007266,0.000001417,0.033093381,0,0
4.66194E-7,0.002544499,0.000004086,0.027694461,0,0
1.04623E-6,0.005089038,0.00000917,0.024195161,0,0
2.82919E-6,0.010242409,0.000024796,0.021195761,0,0
6.45488E-6,0.025227709,0.000056571,0.017596481,0,0
1.30254E-5,0.050265282,0.000114149,0.014697061,0,0
2.26333E-5,0.101575732,0.000198332,0.01189762,0,0
5.39042E-5,0.202237395,0.000472223,0.00909818,0,0
9.04223E-5,0.300902042,0.000791883,0.00769846,0,0
1.41819E-4,0.408519843,0.001241433,0.00679864,0,0
2.05833E-4,0.51216266,0.001800785,0.00619876,0,0
2.74662E-4,0.609133373,0.002401503,0.00579884,0,0
3.39728E-4,0.708504404,0.002968724,0.0054989,0,0
3.51133E-4,0.778568124,0.003068079,0.00529894,0,0
3.72219E-4,0.815790007,0.003251721,0.00519896,0,0
4.31075E-4,0.900593901,0.003763954,0.004999,0,0
4.93054E-4,1.041060374,0.004302804,0.00469906,0,0
6.16585E-4,1.10271885,0.005375039,0.00459908,0,0
7.5001E-4,1.252256053,0.006530568,0.00439912,0,0
8.26314E-4,1.334887486,0.007190198,0.00429914,0,0
8.28931E-4,1.417780537,0.007212799,0.00419916,0,0
9.11409E-4,1.508921437,0.007924784,0.00409918,0,0
1.18614E-3,1.836701602,0.010288992,0.00379924,0,0
1.40645E-3,2.0968802,0.012176811,0.00359928,0,0
1.82326E-3,2.422700981,0.015728663,0.00339932,0,0
1.98542E-3,2.621242891,0.017103674,0.00329934,0,0
2.05318E-3,2.826560448,0.017677054,0.00319936,0,0
2.37583E-3,3.064143239,0.020398302,0.00309938,0,0
2.44717E-3,3.308860574,0.020997995,0.0029994,0,0
2.52174E-3,3.561034258,0.021623953,0.00289942,0,0
2.54506E-3,3.815540479,0.021819604,0.00279944,0,0
2.55097E-3,4.070637902,0.021869181,0.00269946,0,0
2.66379E-3,4.337017216,0.022814298,0.00259948,0,0
2.7558E-3,4.612597149,0.023583709,0.0024995,0,0
3.1468E-3,4.92727667,0.026839984,0.00239952,0,0
3.37326E-3,5.264602981,0.02871613,0.00229954,0,0
3.45977E-3,5.610579758,0.029430859,0.00219956,0,0
3.53945E-3,5.964524787,0.030088292,0.00209958,0,0
3.81186E-3,6.345710692,0.03232913,0.0019996,0,0
3.94663E-3,6.740374093,0.033433966,0.00189962,0,0
4.51422E-3,7.191796059,0.038059275,0.00179964,0,0
4.62844E-3,7.654640171,0.038984731,0.00169966,0,0
5.02874E-3,8.157514612,0.042214098,0.00159968,0,0
5.18282E-3,8.675796122,0.043451256,0.0014997,0,0
5.34051E-3,9.209846728,0.044714178,0.00139972,0,0
5.80206E-3,9.790052374,0.048391573,0.00129974,0,0
6.01338E-3,10.391390614,0.050065876,0.00119976,0,0
7.72381E-3,11.163771458,0.063403541,0.00109978,0,0
7.7812E-3,11.941891188,0.063844561,0.0009998,0,0
7.90973E-3,12.732863941,0.064830779,0.00089982,0,0
9.51146E-3,13.684010304,0.076948931,0.00079984,0,0
1.01969E-2,14.703696204,0.082038965,0.00069986,0,0
2.59119E-2,17.294889205,0.185074707,0.00059988,0,0
2.60209E-2,19.896977956,0.185708408,0.0004999,0,0
5.60925E-2,25.506229171,0.329590437,0.00039992,0,0
1.29529E-1,38.459105351,0.53167318,0.00029994,0,0
2.69989E-1,65.457984832,0.702940563,0.00019996,0,0
3.4542E-1,100,0.751704018,0.00009998,0.5,0
3.4542E-1,100,0.751704018,0,0.5,0
