Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.93387E-11,0.00000001,0.000000051,1,0,0
1.1515E-10,0.000000021,0.000000059,0.999902086,0,0
1.18085E-10,0.000000033,0.000000061,0.999804171,0,0
1.41206E-10,0.000000113,0.000000073,0.999216685,0,0
1.84245E-10,0.000000256,0.000000095,0.998335455,0,0
2.7098E-10,0.000001024,0.000000139,0.995104279,0,0
3.39379E-10,0.000002518,0.000000175,0.990306472,0,0
6.13293E-10,0.00001003,0.000000316,0.975129737,0,0
8.35075E-10,0.000025029,0.00000043,0.954959366,0,0
1.15407E-9,0.000050043,0.000000594,0.93048076,0,0
1.76697E-9,0.000100113,0.000000909,0.896406541,0,0
3.95006E-9,0.000250281,0.000002032,0.841966122,0,0
6.98307E-9,0.000500362,0.000003593,0.79721923,0,0
1.16822E-8,0.001000348,0.000006011,0.743170469,0,0
2.74337E-8,0.002501677,0.000014115,0.665426417,0,0
5.65936E-8,0.00500236,0.000029118,0.603544502,0,0
9.98168E-8,0.010008931,0.000051355,0.540487614,0,0
2.3747E-7,0.025018558,0.000122168,0.444727308,0,0
4.62122E-7,0.050034519,0.000237714,0.372270635,0,0
9.26825E-7,0.100039694,0.000476641,0.299716048,0,0
2.15329E-6,0.200083881,0.00110668,0.231469695,0,0
3.39053E-6,0.300027126,0.001741454,0.196024674,0,0
4.345E-6,0.400097466,0.002230598,0.170371096,0,0
5.89623E-6,0.500258613,0.003024546,0.150690297,0,0
7.81656E-6,0.600712493,0.004005657,0.136101048,0,0
1.00926E-5,0.700967327,0.005166015,0.125036718,0,0
1.13156E-5,0.750491278,0.005788378,0.120532654,0,0
1.25045E-5,0.800367141,0.006392643,0.116420249,0,0
1.48154E-5,0.900180891,0.007565115,0.109272496,0.004694836,0
1.72992E-5,1.000146797,0.008822237,0.103103887,0.004694836,0
1.9211E-5,1.100278616,0.009787687,0.097718594,0.004694836,0
2.14789E-5,1.202071947,0.010930479,0.092822873,0.004694836,0
2.4189E-5,1.301667969,0.012292704,0.088514638,0.004694836,0
2.68148E-5,1.401373772,0.013608974,0.084695976,0.004694836,0
2.90848E-5,1.502214616,0.014744044,0.081171056,0.004694836,0
3.45795E-5,1.75036136,0.01748079,0.073533732,0.004694836,0
4.06947E-5,2.002543517,0.020508761,0.066973465,0.004694836,0
5.13204E-5,2.254786037,0.025725969,0.061490258,0.009389671,0
6.61784E-5,2.505692302,0.032928771,0.057279937,0.009389671,0
8.88186E-5,2.750641965,0.043701675,0.054146676,0.009389671,0
1.10834E-4,3.009482591,0.053949524,0.051600901,0.009389671,0
1.67749E-4,3.250674973,0.079452641,0.049838441,0.009389671,0
2.21234E-4,3.506373168,0.102196156,0.048565554,0.014084507,0
2.79165E-4,3.760789983,0.125595669,0.047586409,0.014084507,0
3.10221E-4,4.02719009,0.137644428,0.04670518,0.018779343,0
3.69631E-4,4.266068194,0.159792182,0.046019779,0.023474178,0
4.16176E-4,4.503300804,0.176365163,0.045432292,0.023474178,0
4.70167E-4,4.77604438,0.194788562,0.044844806,0.023474178,0
4.94726E-4,5.020462191,0.202898592,0.044355234,0.023474178,0
5.43236E-4,5.279095192,0.218447819,0.043865661,0.023474178,0
5.63884E-4,5.556308485,0.224883625,0.043376089,0.028169014,0
5.81037E-4,5.785008977,0.230149946,0.042984432,0.028169014,0
6.1216E-4,6.025172006,0.239525129,0.042592774,0.028169014,0
6.30429E-4,6.273723144,0.244922506,0.042201116,0.028169014,0
6.62765E-4,6.535074205,0.254290429,0.041809459,0.028169014,0
6.71977E-4,6.8024139,0.256916903,0.041417801,0.028169014,0
6.82092E-4,7.006392845,0.259779658,0.041124058,0.028169014,0
7.33952E-4,7.292858544,0.274116721,0.0407324,0.03286385,0
7.53319E-4,7.516626128,0.279329369,0.040438657,0.03286385,0
7.76143E-4,7.821879234,0.285377358,0.040046999,0.03286385,0
7.99427E-4,8.059055878,0.291443529,0.039753256,0.03286385,0
8.52176E-4,8.31090241,0.304812123,0.039459512,0.03286385,0
8.67612E-4,8.570899263,0.308629461,0.039165769,0.03286385,0
8.96208E-4,8.834825478,0.315591381,0.038872026,0.037558685,0
9.23053E-4,9.018311311,0.322000827,0.038676197,0.037558685,0
9.34416E-4,9.297521511,0.324677568,0.038382454,0.037558685,0
9.59596E-4,9.584350798,0.330535007,0.03808871,0.037558685,0
9.84028E-4,9.780480739,0.336121994,0.037892882,0.037558685,0
9.94775E-4,10.077609072,0.338550132,0.037599138,0.037558685,0
1.00887E-3,10.278501854,0.341707318,0.03740331,0.037558685,0
1.06518E-3,10.592417896,0.354028921,0.037109566,0.037558685,0
1.08035E-3,10.807130407,0.357267936,0.036913737,0.037558685,0
1.083E-3,11.023581002,0.357830751,0.036717909,0.042253521,0
1.0864E-3,11.348930952,0.358552766,0.036424165,0.046948357,0
1.10266E-3,11.568495412,0.36197678,0.036228336,0.046948357,0
1.10617E-3,11.789505803,0.362710665,0.036032508,0.046948357,0
1.12936E-3,12.013719458,0.367518671,0.035836679,0.046948357,0
1.14965E-3,12.355781849,0.371668954,0.035542935,0.051643192,0
1.16715E-3,12.588799957,0.375203902,0.035347107,0.051643192,0
1.18663E-3,12.825445147,0.379092169,0.035151278,0.051643192,0
1.20398E-3,13.064669224,0.382514583,0.034955449,0.051643192,0
1.2116E-3,13.306840095,0.384006283,0.03475962,0.051643192,0
1.22138E-3,13.550911992,0.385908717,0.034563791,0.051643192,0
1.22598E-3,13.795774253,0.386799208,0.034367962,0.051643192,0
1.23591E-3,14.042594264,0.388715639,0.034172134,0.051643192,0
1.26243E-3,14.294094931,0.393771444,0.033976305,0.051643192,0
1.27293E-3,14.548004167,0.39575048,0.033780476,0.051643192,0
1.27863E-3,14.803634993,0.396820359,0.033584647,0.051643192,0
1.28532E-3,15.060691581,0.398070191,0.033388818,0.056338028,0
1.29027E-3,15.318560484,0.398990974,0.033192989,0.061032864,0
1.29986E-3,15.578107904,0.400766905,0.03299716,0.070422535,0
1.31706E-3,15.840384579,0.403928176,0.032801332,0.070422535,0
1.33939E-3,16.107758451,0.407983774,0.032605503,0.070422535,0
1.34694E-3,16.376998534,0.409341936,0.032409674,0.070422535,0
1.35419E-3,16.512417605,0.410640128,0.03231176,0.070422535,0
1.35788E-3,16.783941799,0.411299002,0.032115931,0.079812207,0
1.3624E-3,17.055973675,0.412103309,0.031920102,0.079812207,0
1.36809E-3,17.329025385,0.413113253,0.031724273,0.084507042,0
1.38188E-3,17.60429867,0.415547032,0.031528444,0.084507042,0
1.40882E-3,17.883862633,0.420244222,0.031332615,0.089201878,0
1.42855E-3,18.026717523,0.423636053,0.031234701,0.089201878,0
1.44547E-3,18.314542704,0.42651433,0.031038872,0.093896714,0
1.46359E-3,18.6065051,0.429564163,0.030843043,0.093896714,0
1.464E-3,18.752905322,0.429632711,0.030745129,0.093896714,0
1.4776E-3,19.047199885,0.431899707,0.0305493,0.098591549,0
1.48527E-3,19.344176336,0.433169719,0.030353471,0.103286385,0
1.50379E-3,19.64405177,0.436216169,0.030157642,0.103286385,0
1.51419E-3,19.795470309,0.437910592,0.030059728,0.103286385,0
1.52571E-3,20.099630928,0.439778263,0.029863899,0.107981221,0
1.53788E-3,20.253418881,0.44173608,0.029765985,0.112676056,0
1.56173E-3,20.565407654,0.445534964,0.029570156,0.112676056,0
1.57041E-3,20.878938641,0.446903913,0.029374327,0.117370892,0
1.58448E-3,21.037386871,0.449110313,0.029276412,0.122065728,0
1.60032E-3,21.35675306,0.4515724,0.029080584,0.126760563,0
1.62925E-3,21.519677993,0.456012911,0.028982669,0.131455399,0
1.66392E-3,21.849505322,0.461240763,0.02878684,0.131455399,0
1.68059E-3,22.0175644,0.463719281,0.028688926,0.131455399,0
1.69351E-3,22.355121378,0.465624336,0.028493097,0.136150235,0
1.71512E-3,22.526633617,0.468780834,0.028395183,0.136150235,0
1.71733E-3,22.869947008,0.469101196,0.028199354,0.14084507,0
1.73617E-3,23.043564355,0.471819836,0.028101439,0.14084507,0
1.75912E-3,23.39382316,0.475092486,0.02790561,0.145539906,0
1.75913E-3,23.569736196,0.47509458,0.027807696,0.150234742,0
1.76874E-3,23.922549429,0.476453301,0.027611867,0.154929577,0
1.77831E-3,24.100380323,0.477799385,0.027513953,0.154929577,0
1.77906E-3,24.278286783,0.477905387,0.027416038,0.159624413,0
1.7859E-3,24.634853176,0.478861999,0.02722021,0.169014085,0
1.79099E-3,24.813951732,0.479571952,0.027122295,0.169014085,0
1.79348E-3,25.172518458,0.479919587,0.026926466,0.17370892,0
1.79365E-3,25.351883425,0.479942943,0.026828552,0.178403756,0
1.79726E-3,25.531609829,0.48044542,0.026730637,0.183098592,0
1.80038E-3,25.891583278,0.480877442,0.026534809,0.183098592,0
1.80192E-3,26.071775284,0.481091279,0.026436894,0.183098592,0
1.81024E-3,26.252799071,0.482241097,0.02633898,0.187793427,0
