Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.40765E-12,0.000000001,0.000000006,0.999904169,0,0
7.54351E-12,0.000000003,0.000000007,0.999712506,0,0
9.53245E-12,0.000000011,0.000000008,0.998850024,0,0
1.16421E-11,0.000000026,0.00000001,0.997508385,0,0
1.80665E-11,0.0000001,0.000000016,0.992620987,0,0
5.82378E-11,0.000000256,0.000000051,0.987446095,0,0
1.26793E-10,0.00000101,0.000000111,0.979779588,0,0
2.95277E-10,0.00000252,0.000000259,0.972113081,0,0
1.19525E-9,0.000010069,0.000001048,0.962338285,0,0
2.04517E-9,0.000025204,0.000001793,0.953234308,0,0
3.07353E-9,0.00005005,0.000002695,0.943938668,0,0
4.16992E-9,0.000100278,0.000003656,0.930618112,0,0
6.31661E-9,0.000250229,0.000005539,0.903497844,0,0
8.4505E-9,0.000500556,0.00000741,0.870627695,0,0
1.23099E-8,0.00100099,0.000010794,0.824053666,0,0
2.30275E-8,0.002501729,0.000020191,0.739626258,0,0
3.73676E-8,0.005003093,0.000032765,0.659319598,0,0
6.21515E-8,0.01000552,0.000054495,0.561763297,0,0
1.58777E-7,0.02501407,0.000139205,0.422041207,0,0
3.72249E-7,0.050009069,0.000326302,0.32400575,0,0
9.04353E-7,0.100085346,0.000792358,0.243219933,0,0
2.49529E-6,0.200033458,0.00218323,0.181600383,0,0
4.66883E-6,0.300355063,0.004077196,0.153234308,0,0
7.79549E-6,0.400590564,0.006789105,0.137230474,0,0
1.21111E-5,0.500277686,0.010508056,0.127455678,0,0
1.70646E-5,0.600691333,0.014742557,0.120843316,0,0
2.23657E-5,0.701248992,0.019234272,0.115955918,0,0
2.47075E-5,0.751069875,0.021205467,0.11394346,0.002298851,0
2.73905E-5,0.800635775,0.023454202,0.112122664,0.002298851,0
3.4397E-5,0.900868704,0.029278153,0.109056061,0.002298851,0
4.08635E-5,1.002463309,0.034591873,0.106468615,0.002298851,0
4.80691E-5,1.104798416,0.040444883,0.104264494,0.002298851,0
5.27549E-5,1.200713902,0.044213201,0.102443699,0.002298851,0
6.24047E-5,1.300059863,0.051880954,0.100814566,0.002298851,0
6.95194E-5,1.406442451,0.057456016,0.099281265,0.002298851,0
7.90518E-5,1.505138289,0.064823572,0.098035458,0.002298851,0
9.88716E-5,1.75365099,0.079779472,0.09535218,0.002298851,0
1.23771E-4,2.012198089,0.097904138,0.093148059,0.002298851,0
1.39002E-4,2.262452328,0.108642595,0.091327264,0.002298851,0
1.58148E-4,2.514620883,0.121784406,0.089698131,0.004597701,0
1.79588E-4,2.750253515,0.136048661,0.088356493,0.004597701,0
1.9442E-4,3.010770135,0.145648157,0.087014854,0.006896552,0
2.05577E-4,3.251291362,0.152729668,0.085864878,0.009195402,0
2.1299E-4,3.502403583,0.15737053,0.084714902,0.011494253,0
2.30565E-4,3.768387597,0.168172195,0.083564926,0.013793103,0
2.42131E-4,4.005382919,0.175131043,0.082606612,0.016091954,0
2.50821E-4,4.252448866,0.180283563,0.081648299,0.016091954,0
2.64707E-4,4.510721291,0.188383967,0.080689986,0.018390805,0
2.71841E-4,4.752753022,0.19248361,0.079827504,0.018390805,0
2.84892E-4,5.004228863,0.199877987,0.078965022,0.022988506,0
2.97436E-4,5.267324697,0.206857842,0.07810254,0.025287356,0
3.23653E-4,5.516357384,0.22106064,0.077335889,0.029885057,0
3.31779E-4,5.777948319,0.225359951,0.076569238,0.032183908,0
3.38595E-4,6.013328508,0.228929819,0.075898419,0.032183908,0
3.42716E-4,6.251934326,0.231072046,0.075227599,0.032183908,0
3.59724E-4,6.533894858,0.239789715,0.074460949,0.032183908,0
3.6713E-4,6.752082114,0.243524321,0.073885961,0.034482759,0
3.73961E-4,7.011392443,0.24693678,0.073215141,0.03908046,0
3.87153E-4,7.276760053,0.253440091,0.072544322,0.03908046,0
3.96316E-4,7.512549704,0.257891566,0.071969334,0.03908046,0
4.13348E-4,7.755582139,0.266026357,0.071394346,0.04137931,0
4.2348E-4,8.006332598,0.270781353,0.070819358,0.04137931,0
4.29631E-4,8.262469529,0.273638257,0.07024437,0.04137931,0
4.41898E-4,8.523838079,0.279269058,0.069669382,0.04137931,0
4.53318E-4,8.792634778,0.284433563,0.069094394,0.04137931,0
4.57459E-4,9.020439369,0.286288036,0.068615237,0.04137931,0
4.63691E-4,9.251382426,0.289060624,0.06813608,0.045977011,0
4.79951E-4,9.534269963,0.296194795,0.067561092,0.050574713,0
4.87048E-4,9.776259013,0.299264006,0.067081936,0.052873563,0
4.94329E-4,10.022148338,0.302384764,0.066602779,0.055172414,0
5.11349E-4,10.274844261,0.309573136,0.066123622,0.057471264,0
5.2672E-4,10.535275613,0.315938743,0.065644466,0.059770115,0
5.376E-4,10.802089732,0.320373846,0.065165309,0.062068966,0
5.52219E-4,11.019974645,0.326243519,0.064781984,0.062068966,0
5.69089E-4,11.299504597,0.332892494,0.064302827,0.064367816,0
5.75075E-4,11.528595456,0.335220218,0.063919502,0.068965517,0
5.77224E-4,11.75905964,0.336051731,0.063536176,0.071264368,0
5.8247E-4,12.049392671,0.338073448,0.06305702,0.071264368,0
5.90616E-4,12.284247076,0.341188276,0.062673694,0.073563218,0
5.9675E-4,12.522037725,0.343514513,0.062290369,0.075862069,0
6.04851E-4,12.762386779,0.346561965,0.061907044,0.08045977,0
6.13181E-4,13.006235588,0.349665762,0.061523718,0.082758621,0
6.21328E-4,13.253433927,0.352673131,0.061140393,0.082758621,0
6.31245E-4,13.504620143,0.356296731,0.060757068,0.082758621,0
6.38292E-4,13.758677951,0.3588469,0.060373742,0.082758621,0
6.42661E-4,14.015402654,0.360417698,0.059990417,0.087356322,0
6.51142E-4,14.273868725,0.363445465,0.059607092,0.089655172,0
6.60568E-4,14.537296215,0.366776816,0.059223766,0.091954023,0
6.70055E-4,14.803596832,0.370095241,0.058840441,0.094252874,0
6.86128E-4,15.006757564,0.37563812,0.058552947,0.096551724,0
6.95637E-4,15.283378518,0.378871566,0.058169621,0.098850575,0
7.01318E-4,15.563259015,0.380787408,0.057786296,0.103448276,0
7.09088E-4,15.774812376,0.383388654,0.057498802,0.103448276,0
7.22582E-4,16.063250801,0.387854807,0.057115477,0.103448276,0
7.2865E-4,16.281118331,0.389842437,0.056827983,0.105747126,0
7.33925E-4,16.500800369,0.391559353,0.056540489,0.108045977,0
7.48438E-4,16.798080627,0.396234339,0.056157163,0.110344828,0
7.51979E-4,17.023567931,0.397364059,0.055869669,0.114942529,0
7.55881E-4,17.32537509,0.398604101,0.055486344,0.114942529,0
7.58677E-4,17.552737769,0.39948947,0.05519885,0.117241379,0
7.67987E-4,17.782060124,0.402418997,0.054911356,0.11954023,0
7.70415E-4,18.012839994,0.403178459,0.054623862,0.11954023,0
7.7731E-4,18.322951686,0.405324017,0.054240537,0.12183908,0
7.80463E-4,18.556704361,0.406300119,0.053953043,0.124137931,0
7.84206E-4,18.791570108,0.407454934,0.053665549,0.131034483,0
7.9184E-4,19.028343594,0.409795948,0.053378055,0.133333333,0
7.97068E-4,19.267223759,0.411388456,0.053090561,0.137931034,0
8.00345E-4,19.507046945,0.412382162,0.052803067,0.142528736,0
8.12673E-4,19.830507799,0.416091313,0.052419741,0.147126437,0
8.28156E-4,20.078244318,0.420683685,0.052132247,0.151724138,0
8.33605E-4,20.328080029,0.42228286,0.051844753,0.151724138,0
8.36364E-4,20.57889845,0.423089056,0.051557259,0.154022989,0
8.43595E-4,20.831486575,0.42519184,0.051269765,0.15862069,0
8.50457E-4,21.001540497,0.427172816,0.051078103,0.15862069,0
8.57911E-4,21.258289492,0.42930967,0.050790609,0.16091954,0
8.68107E-4,21.517332671,0.432206567,0.050503115,0.16091954,0
8.7474E-4,21.779073831,0.434075475,0.050215621,0.163218391,0
8.80997E-4,22.042879002,0.4358272,0.049928126,0.167816092,0
8.84769E-4,22.307688959,0.436877965,0.049640632,0.167816092,0
8.93139E-4,22.575273374,0.439195805,0.049353138,0.167816092,0
8.97549E-4,22.754372158,0.440409311,0.049161476,0.167816092,0
9.03599E-4,23.024645146,0.442065682,0.048873982,0.167816092,0
9.08535E-4,23.296852874,0.443409679,0.048586488,0.170114943,0
9.09871E-4,23.569785962,0.443772491,0.048298994,0.174712644,0
9.20279E-4,23.753565286,0.446581669,0.048107331,0.177011494,0
9.26443E-4,24.031021815,0.448232001,0.047819837,0.181609195,0
9.30255E-4,24.309798112,0.449247928,0.047532343,0.186206897,0
9.4036E-4,24.59185114,0.451922506,0.047244849,0.188505747,0
9.4402E-4,24.780565375,0.452884785,0.047053186,0.190804598,0
9.47636E-4,25.064420082,0.453832252,0.046765692,0.190804598,0
9.52909E-4,25.254815459,0.455208017,0.04657403,0.193103448,0
9.63404E-4,25.542579183,0.457925758,0.046286536,0.195402299,0
9.73139E-4,25.833806372,0.460422503,0.045999042,0.2,0
9.76357E-4,26.028999693,0.461242778,0.045807379,0.2,0
9.86647E-4,26.323504539,0.463849061,0.045519885,0.204597701,0
9.89086E-4,26.521254153,0.464463183,0.045328222,0.209195402,0
9.96923E-4,26.819337748,0.466426686,0.045040728,0.213793103,0
9.9713E-4,27.018761659,0.466478383,0.044849066,0.213793103,0
1.00465E-3,27.319268808,0.468348012,0.044561572,0.218390805,0
1.00727E-3,27.520581974,0.468996538,0.044369909,0.220689655,0
1.00932E-3,27.823179593,0.469504914,0.044082415,0.222988506,0
1.02147E-3,28.026475832,0.472484324,0.043890752,0.227586207,0
1.02707E-3,28.33364994,0.47384723,0.043603258,0.229885057,0
1.03511E-3,28.540294239,0.475792805,0.043411596,0.232183908,0
1.03809E-3,28.851549563,0.476510498,0.043124102,0.236781609,0
1.04779E-3,29.060554662,0.478830108,0.042932439,0.236781609,0
1.04873E-3,29.270253201,0.479053496,0.042740776,0.24137931,0
1.05282E-3,29.585813691,0.4800258,0.042453282,0.243678161,0
1.05929E-3,29.7976194,0.481554282,0.04226162,0.243678161,0
1.06333E-3,30.010118188,0.482504519,0.042069957,0.245977011,0
1.06493E-3,30.329448515,0.482880123,0.041782463,0.250574713,0
1.07264E-3,30.543565968,0.484682062,0.0415908,0.252873563,0
1.07428E-3,30.758306978,0.485064463,0.041399138,0.255172414,0
1.08815E-3,31.083629944,0.488269111,0.041111644,0.262068966,0
1.09228E-3,31.301811184,0.489215397,0.040919981,0.266666667,0
1.09714E-3,31.521231563,0.490325587,0.040728318,0.266666667,0
1.10441E-3,31.8520524,0.491974657,0.040440824,0.271264368,0
1.10691E-3,32.073361632,0.492539301,0.040249161,0.271264368,0
1.11663E-3,32.296648435,0.494724966,0.040057499,0.273563218,0
1.12117E-3,32.52080333,0.495738959,0.039865836,0.273563218,0
1.12728E-3,32.858583564,0.497098278,0.039578342,0.27816092,0
1.12935E-3,33.084366247,0.497556441,0.039386679,0.28045977,0
1.14191E-3,33.312646255,0.500321426,0.039195017,0.282758621,0
1.14522E-3,33.541448574,0.501045717,0.039003354,0.287356322,0
1.14804E-3,33.770888636,0.501660698,0.038811691,0.291954023,0
1.1584E-3,34.001794012,0.50390708,0.038620029,0.296551724,0
1.16041E-3,34.349671739,0.504340444,0.038332535,0.301149425,0
1.16739E-3,34.583138382,0.505839789,0.038140872,0.305747126,0
1.16829E-3,34.81678403,0.506032404,0.037949209,0.305747126,0
1.17123E-3,35.051015405,0.506660735,0.037757547,0.308045977,0
1.17252E-3,35.285506328,0.506934566,0.037565884,0.312643678,0
1.17658E-3,35.520639992,0.507798192,0.037374221,0.312643678,0
1.17806E-3,35.756242436,0.508113669,0.037182559,0.312643678,0
1.18111E-3,36.110036731,0.508759356,0.036895065,0.314942529,0
1.18281E-3,36.346500492,0.509119894,0.036703402,0.317241379,0
1.19588E-3,36.585547189,0.511865039,0.036511739,0.32183908,0
1.19746E-3,36.825010639,0.512194476,0.036320077,0.326436782,0
1.1987E-3,37.064685431,0.512452593,0.036128414,0.328735632,0
1.20248E-3,37.305153457,0.513239759,0.035936751,0.333333333,0
1.2052E-3,37.546029424,0.513804257,0.035745089,0.335632184,0
1.20946E-3,37.787736352,0.514685818,0.035553426,0.340229885,0
1.21111E-3,38.029844229,0.515026794,0.035361763,0.342528736,0
1.21895E-3,38.273207629,0.516638833,0.035170101,0.347126437,0
1.22755E-3,38.518430159,0.518393761,0.034978438,0.347126437,0
1.22931E-3,38.764136138,0.518751296,0.034786775,0.349425287,0
1.23E-3,39.010082548,0.518890603,0.034595113,0.351724138,0
1.23247E-3,39.25635373,0.519391387,0.03440345,0.356321839,0
1.24154E-3,39.504336874,0.521222904,0.034211787,0.36091954,0
1.24322E-3,39.752848776,0.521559818,0.034020125,0.36091954,0
1.25494E-3,40.003823217,0.523899734,0.033828462,0.363218391,0
1.25833E-3,40.255402188,0.524572524,0.033636799,0.365517241,0
1.26247E-3,40.50768447,0.525393119,0.033445137,0.367816092,0
1.26892E-3,40.761374117,0.526661914,0.033253474,0.370114943,0
1.28247E-3,41.017537374,0.529310328,0.033061811,0.374712644,0
1.28483E-3,41.274404554,0.529767441,0.032870149,0.374712644,0
1.29377E-3,41.532277451,0.53149566,0.032678486,0.379310345,0
1.29558E-3,41.791339964,0.531843107,0.032486823,0.381609195,0
1.29814E-3,42.050899636,0.532334858,0.032295161,0.383908046,0
1.30059E-3,42.310854749,0.532804838,0.032103498,0.386206897,0
1.30368E-3,42.571389981,0.53339454,0.031911835,0.390804598,0
1.30476E-3,42.832239693,0.533599952,0.031720172,0.393103448,0
1.31266E-3,43.094424722,0.535101841,0.03152851,0.393103448,0
1.31386E-3,43.357161709,0.535329556,0.031336847,0.395402299,0
1.32107E-3,43.620694588,0.536690975,0.031145184,0.397701149,0
1.32371E-3,43.753065864,0.537187955,0.031049353,0.4,0
1.32426E-3,44.017878854,0.537290018,0.03085769,0.402298851,0
1.32574E-3,44.282939248,0.537568845,0.030666028,0.404597701,0
1.33172E-3,44.549078983,0.538687418,0.030474365,0.404597701,0
1.33475E-3,44.815981151,0.539251933,0.030282702,0.409195402,0
1.33909E-3,45.083599686,0.540058619,0.03009104,0.409195402,0
1.34023E-3,45.351552955,0.540269448,0.029899377,0.413793103,0
1.3441E-3,45.620366247,0.540985366,0.029707714,0.418390805,0
1.34544E-3,45.754910464,0.541233454,0.029611883,0.420689655,0
1.35013E-3,46.024616758,0.54209735,0.02942022,0.425287356,0
1.35919E-3,46.295978405,0.543756873,0.029228558,0.427586207,0
1.36249E-3,46.56829774,0.544358888,0.029036895,0.432183908,0
1.36922E-3,46.84190294,0.545580777,0.028845232,0.434482759,0
1.37252E-3,47.116336155,0.546176802,0.02865357,0.436781609,0
1.3733E-3,47.253666197,0.546317686,0.028557738,0.43908046,0
1.37634E-3,47.528899224,0.546866124,0.028366076,0.44137931,0
1.37872E-3,47.804444269,0.547293144,0.028174413,0.445977011,0
1.38587E-3,48.081267622,0.548574404,0.02798275,0.448275862,0
1.39145E-3,48.359413788,0.549570246,0.027791088,0.452873563,0
1.39453E-3,48.638047153,0.550117827,0.027599425,0.457471264,0
1.39693E-3,48.777739914,0.550542239,0.027503594,0.457471264,0
1.39788E-3,49.057307435,0.550710305,0.027311931,0.462068966,0
1.39958E-3,49.337139232,0.551010771,0.027120268,0.466666667,0
1.40138E-3,49.617373369,0.551329119,0.026928606,0.468965517,0
1.4015E-3,49.757523738,0.551351367,0.026832774,0.471264368,0
1.41289E-3,50.03921979,0.553352397,0.026641112,0.471264368,0
1.41357E-3,50.32192195,0.553471127,0.026449449,0.475862069,0
1.41651E-3,50.60494978,0.553983625,0.026257786,0.48045977,0
1.41979E-3,50.888637084,0.554556022,0.026066124,0.485057471,0
1.41993E-3,51.030630409,0.554580737,0.025970292,0.487356322,0
1.42854E-3,51.315664714,0.556073491,0.02577863,0.489655172,0
1.43157E-3,51.601753789,0.556596135,0.025586967,0.494252874,0
1.43393E-3,51.888504883,0.557003081,0.025395304,0.496551724,0
1.43423E-3,52.031928101,0.557054459,0.025299473,0.496551724,0
1.43747E-3,52.319249634,0.557611194,0.02510781,0.496551724,0
1.44195E-3,52.607238489,0.55837903,0.024916148,0.501149425,0
1.4434E-3,52.751578216,0.558625625,0.024820316,0.503448276,0
1.44715E-3,53.040995965,0.559265714,0.024628654,0.505747126,0
1.45374E-3,53.331206742,0.560385068,0.024436991,0.510344828,0
1.45958E-3,53.622964017,0.561372699,0.024245328,0.514942529,0
1.46137E-3,53.769100721,0.561674045,0.024149497,0.517241379,0
1.46298E-3,54.06160391,0.561945477,0.023957834,0.52183908,0
1.46759E-3,54.355089523,0.562719443,0.023766172,0.524137931,0
1.46935E-3,54.502024194,0.563014269,0.02367034,0.526436782,0
1.47061E-3,54.796099765,0.563225784,0.023478678,0.531034483,0
1.47116E-3,55.090311787,0.563318379,0.023287015,0.533333333,0
1.47403E-3,55.384910838,0.563796904,0.023095352,0.535632184,0
1.4742E-3,55.532330859,0.563825435,0.022999521,0.537931034,0
1.48223E-3,55.828164098,0.565161314,0.022807858,0.542528736,0
1.48405E-3,56.124879881,0.565462331,0.022616195,0.544827586,0
1.487E-3,56.273580145,0.565950731,0.022520364,0.547126437,0
1.48953E-3,56.571435113,0.56636728,0.022328701,0.549425287,0
1.49768E-3,56.870306889,0.567707326,0.022137039,0.554022989,0
1.50426E-3,57.020733246,0.568783599,0.022041207,0.556321839,0
1.51211E-3,57.322884876,0.570059677,0.021849545,0.56091954,0
1.52043E-3,57.626969838,0.571403088,0.021657882,0.565517241,0
1.52319E-3,57.779289014,0.571847894,0.021562051,0.565517241,0
1.53353E-3,58.085824139,0.573502653,0.021370388,0.565517241,0
1.53694E-3,58.392936262,0.574045732,0.021178725,0.570114943,0
1.53832E-3,58.546768526,0.574266293,0.021082894,0.572413793,0
1.5613E-3,58.858037512,0.577887764,0.020891231,0.574712644,0
1.56555E-3,59.014592361,0.578549744,0.0207954,0.577011494,0
1.56954E-3,59.328382421,0.579169873,0.020603737,0.579310345,0
1.57241E-3,59.642610527,0.579615164,0.020412075,0.581609195,0
1.57454E-3,59.800064131,0.579944896,0.020316243,0.583908046,0
1.59318E-3,60.117297521,0.582809654,0.020124581,0.588505747,0
1.59785E-3,60.277082662,0.583521485,0.020028749,0.588505747,0
1.61209E-3,60.599265783,0.58567591,0.019837087,0.593103448,0
1.6149E-3,60.760756126,0.58609895,0.019741255,0.595402299,0
1.62061E-3,61.084731831,0.58695455,0.019549593,0.597701149,0
1.63102E-3,61.409945082,0.588505985,0.01935793,0.602298851,0
1.63288E-3,61.573233316,0.588782192,0.019262099,0.604597701,0
1.63715E-3,61.900351536,0.589414613,0.019070436,0.606896552,0
1.63876E-3,62.064227224,0.589651406,0.018974605,0.609195402,0
1.64306E-3,62.392628369,0.590285897,0.018782942,0.609195402,0
1.6456E-3,62.557188173,0.590659023,0.018687111,0.611494253,0
1.65497E-3,62.887328689,0.592031435,0.018495448,0.613793103,0
1.65517E-3,63.052845405,0.592060161,0.018399617,0.616091954,0
1.65846E-3,63.384511841,0.5925397,0.018207954,0.618390805,0
1.65994E-3,63.550505653,0.592755162,0.018112123,0.620689655,0
1.66837E-3,63.884092137,0.593977941,0.01792046,0.625287356,0
1.6686E-3,64.050952213,0.594011041,0.017824629,0.627586207,0
1.67047E-3,64.385033239,0.594281607,0.017632966,0.632183908,0
1.67252E-3,64.552285164,0.594576591,0.017537135,0.632183908,0
1.67756E-3,64.887529781,0.595301758,0.017345472,0.636781609,0
1.67911E-3,65.055440517,0.595523895,0.017249641,0.63908046,0
