Species, X, Y
Tetramerium_nervosum, -89.65, 20.17
Tetramerium_nervosum, -110.6667, 29.3333
Tetramerium_nervosum, -108.9333333, 27.0166667
Tetramerium_nervosum, -107.1666667, 24.8666667
Tetramerium_nervosum, -94.1333333, 16.6166667
Tetramerium_nervosum, -99.52, 17.16
Tetramerium_nervosum, -101.14, 19.69
Tetramerium_nervosum, -88.71, 20.5
Tetramerium_nervosum, -90.71, 19.36
Tetramerium_nervosum, -89.59, 21.09
Tetramerium_nervosum, -106.488, 23.82
Tetramerium_nervosum, -104.245, 23.848
Tetramerium_nervosum, -102.192, 17.95
Tetramerium_nervosum, -106.388, 24.075
Tetramerium_nervosum, -105.577, 23.069
Tetramerium_nervosum, -98.7, 24.534
Tetramerium_nervosum, -99.811, 24.745
Tetramerium_nervosum, -96.613, 19.238
Tetramerium_nervosum, -98.684, 24.585
Tetramerium_nervosum, -107.401, 24.809
Tetramerium_nervosum, -111.0495, 31.5565
Tetramerium_nervosum, -111.19167, 31.41667
Tetramerium_nervosum, -112.0429, 31.6634
Tetramerium_nervosum, -104.229258, 29.998304
Tetramerium_nervosum, -110.72, 31.47
Tetramerium_nervosum, -110.40582, 32.88731
Tetramerium_nervosum, -110.84167, 31.75
Tetramerium_nervosum, -109.62028, 29.66222
Tetramerium_nervosum, -111.4276, 31.5719
Tetramerium_nervosum, -110.727, 31.5148
Tetramerium_nervosum, -105.673, 23.025
Tetramerium_nervosum, -96.633, 19.567
Tetramerium_nervosum, -106.823, 23.764
Tetramerium_nervosum, -110.067, 23.533
Tetramerium_nervosum, -103.48, 20.33
Tetramerium_nervosum, -110.25, 23.917
Tetramerium_nervosum, -106.852, 24.378
Tetramerium_nervosum, -106.378, 23.263
Tetramerium_nervosum, -104.045, 20.2
Tetramerium_nervosum, -106.432, 23.95
Tetramerium_nervosum, -99.842, 20.823
Tetramerium_nervosum, -99.633, 20.533
Tetramerium_nervosum, -90.722, 19.355
Tetramerium_nervosum, -107.896, 25.167
Tetramerium_nervosum, -99.329, 21.398
Tetramerium_nervosum, -99.545, 21.287
Tetramerium_nervosum, -99.95, 25.1333333333
Tetramerium_nervosum, -101.275, 19.988
Tetramerium_nervosum, -109.757, 28.612
Tetramerium_nervosum, -101.127, 20.592
Tetramerium_nervosum, -111.3062, 31.5441
Tetramerium_nervosum, -110.6647, 31.9004
Tetramerium_nervosum, -110.7562, 31.5395
Tetramerium_nervosum, -110.783333, 31.808333
Tetramerium_nervosum, -110.5195, 32.132
Tetramerium_nervosum, -110.8147, 31.8253
