Subsp_Ritaxa,long,lat
CG,-96.817,20.317
CG,-97.806,22.29300000000001
CG,-97.449,26.15
CG,-97.598,26.494
CG,-97.19,27.65
CG,-97.521,27.737
CG,-97.52,28.02
CG,-96.988,28.096
CG,-96.605,28.436
CG,-89.196,29.014
CG,-90.763,29.045
CG,-90.187,29.103
CG,-89.927,29.282
CG,-91.331,29.297
CG,-89.81200000000004,29.314
CG,-90.838,29.335
CG,-94.858,29.381
CG,-89.48200000000001,29.391
CG,-89.695,29.467
CG,-90.399,29.494
CG,-91.468,29.635
CG,-90.102,29.718000000000004
CG,-93.458,29.769
CG,-93.461,29.77
CG,-93.2,29.847
CG,-89.346,29.895
