Subsp_Ritaxa,long,lat
CMB,10.711,53.87
CMB,10.75,53.96
CMB,10.92,53.96
CMB,11.25,53.96
CMB,11.42,53.96
CMB,11.763,54.146
CMB,13.42,54.16
CMB,13.75,54.16
CMB,13.92,54.26
CMB,13.486,54.35
CMB,13.58,54.36
CMB,13.75,54.36
CMB,13.42,54.46
CMB,13.58,54.46
CMB,11.212,54.504
CMB,17.05,54.67
CMB,17.1,54.68
CMB,13.274,55.404
CMB,12.863,55.413
CMB,14.140999999999998,55.44600000000001
CMB,13.038,55.624
CMB,13.038,55.624
CMB,13.059,55.69300000000001
CMB,13.111,55.706
CMB,12.91,55.762
CMB,12.707,55.993
CMB,12.733,56.066
CMB,10.806,56.13399999999999
CMB,14.898,56.191
CMB,13.234000000000002,56.26600000000001
CMB,12.769,56.426
CMB,12.767,56.453
CMB,13.069,56.532
CMB,12.964,56.637
CMB,16.322,56.642
CMB,16.322,56.642
CMB,16.338,56.651
CMB,16.343,56.653
CMB,16.371,56.66
CMB,16.371,56.66
CMB,16.371,56.66
CMB,16.635,56.793
CMB,12.615,56.908
CMB,16.426,57.028
CMB,12.436,57.065
CMB,16.637,57.098
CMB,12.282,57.12300000000001
CMB,12.282,57.12300000000001
CMB,17.057000000000002,57.194
CMB,17.093,57.265
CMB,17.093,57.265
CMB,16.463,57.27
CMB,16.734,57.502
CMB,10.438,57.544
CMB,10.436,57.545
CMB,10.439,57.545
CMB,11.8,57.551
CMB,11.769,57.555
CMB,11.928,57.566
CMB,11.794,57.567
CMB,11.935,57.57
CMB,11.914,57.578
CMB,11.768,57.594
CMB,11.783,57.597
CMB,11.921,57.608
CMB,11.925,57.613
CMB,11.753,57.62
CMB,11.825,57.624
CMB,11.798,57.628
CMB,11.675999999999998,57.637
CMB,11.867,57.639
CMB,11.62,57.643
CMB,11.761,57.645
CMB,11.749,57.647
CMB,18.33,57.66
CMB,11.686,57.725
CMB,16.605999999999998,57.754
CMB,18.588,57.839
CMB,11.615,57.903
CMB,18.75,57.926
CMB,11.749,58.06
CMB,11.489,58.249
CMB,17.802,58.809
CMB,11.046,59.006
CMB,11.083,59.01
CMB,11.012,59.024
CMB,11.013,59.042
CMB,10.951,59.043
CMB,10.892,59.053
CMB,10.96,59.055
CMB,10.901,59.066
CMB,18.468,59.067
CMB,10.526,59.07100000000001
CMB,10.466,59.077
CMB,10.465,59.118
CMB,10.824000000000002,59.176
CMB,10.907,59.19
CMB,10.573,59.198
CMB,10.726,59.226000000000006
CMB,10.499,59.28100000000001
CMB,10.745,59.287
CMB,10.439,59.29600000000001
CMB,11.018,59.29600000000001
CMB,10.738,59.309
CMB,18.734,59.322
CMB,10.526,59.38
CMB,10.591,59.428
CMB,10.662,59.445
CMB,10.63,59.459
CMB,10.64,59.481
CMB,10.227,59.514
CMB,10.51,59.523
CMB,10.640999999999998,59.645
CMB,10.606,59.677
CMB,23.047,59.827
CMB,22.938,59.841
CMB,23.419,59.847
CMB,10.535,59.848
CMB,10.578,59.862
CMB,10.682,59.908
CMB,10.682,59.908
CMB,21.783,59.917
CMB,26.014,60.214
CMB,21.08,60.25
CMB,26.179,60.453
CMB,26.906,60.456
CMB,26.933000000000003,60.46
CMB,21.009,60.722
CMB,21.465,61.587
CMB,21.497,61.624
CMB,20.671,63.245
CMB,10.797,63.414
CMB,10.915,63.465
CMB,10.632,63.57899999999999
CMB,11.002,63.706
CMB,11.377,63.768
CMB,11.442,63.771
CMB,11.454,63.784
CMB,11.465,63.802
CMB,11.465,63.802
CMB,10.877,63.945
CMB,10.456,64.318
CMB,10.617,64.387
CMB,11.199000000000002,64.634
CMB,11.129,64.842
CMB,10.819,64.947
CMB,11.579,65.039
CMB,11.818,65.67399999999999
CMB,12.063,66.51
CMB,13.869000000000002,67.10600000000001
CMB,14.201,67.14
CMB,14.36,67.27600000000001
CMB,14.42,67.301
CMB,14.579,67.37100000000001
CMB,14.707,67.41199999999999
CMB,14.648,67.539
CMB,14.941,67.575
CMB,13.706,68.217
CMB,14.468,68.30199999999999
CMB,14.385,68.646
CMB,14.876,68.916
CMB,21.155,69.638
CMB,22.463,70.343
