Subsp_Ritaxa,long,lat
CMM,34.707,31.936
CMM,34.708,31.936
CMM,34.822,32.238
CMM,34.824,32.243
CMM,34.833,32.264
CMM,34.92,32.628
CMM,24.358,35.352
CMM,24.311,35.361
CMM,23.817,35.517
CMM,-3.033,35.916667
CMM,27.617,36.217
CMM,25.75,36.35
CMM,-5.223,36.37184
CMM,-5.2010000000000005,36.3936
CMM,28.183000000000003,36.417
CMM,26.35,36.6
CMM,25.13300000000001,36.667
CMM,-3.4160000000000004,36.69936
CMM,-2.807,36.70443
CMM,-3.955,36.72662
CMM,-4.105,36.72682
CMM,-3.741,36.73309
CMM,24.45,36.733
CMM,-3.0210000000000004,36.74214
CMM,-3.882,36.7426
CMM,-2.6010000000000004,36.77496
CMM,-2.245,36.78046
CMM,-2.296,36.82312
CMM,-2.488,36.831197
CMM,14.43,36.87
CMM,25.983,36.9
CMM,24.683000000000003,36.933
CMM,25.05,36.983
CMM,22.11,37.01
CMM,-1.831,37.12776
CMM,-1.83,37.13328
CMM,-1.692,37.333589
CMM,24.9,37.4
CMM,25.333,37.45
CMM,25.233,37.533
CMM,-0.877,37.57753
CMM,-0.843,37.579679
CMM,24.317,37.667
CMM,26.35,37.667
CMM,24.933000000000003,37.833
CMM,24.717,37.9
CMM,-0.647,38.08368
CMM,-0.639,38.13092
CMM,-0.64,38.15
CMM,-0.625,38.15694000000001
CMM,-0.52,38.26
CMM,-0.52,38.27743
CMM,23.982,38.397
CMM,22.417,38.433
CMM,25.933000000000003,38.467
CMM,23.623,38.474
CMM,23.6,38.57
CMM,23.294,38.769
CMM,22.912,38.773
CMM,22.827,38.785
CMM,23.226,38.812
CMM,22.711,38.826
CMM,24.567,38.867
CMM,23.033,38.88
CMM,-0.04,38.88738
CMM,22.856,38.927
CMM,23.083,38.941
CMM,23.378,38.969
CMM,1.58,38.98
CMM,0.0,39.0
CMM,23.209,39.007
CMM,23.342,39.014
CMM,1.44,39.063
CMM,3.1,39.1
CMM,26.867,39.117
CMM,23.85,39.15
CMM,-0.241,39.16428
CMM,3.0,39.21
CMM,-0.29,39.30334000000001
CMM,-0.314,39.3531
CMM,2.65,39.48
CMM,19.917,39.583
CMM,2.665,39.585
CMM,-0.183,39.73348
CMM,3.35,39.75
CMM,0.035,40.026
CMM,0.1,40.1
CMM,22.55,40.1
CMM,0.125,40.119
CMM,23.398000000000003,40.136
CMM,0.239,40.212
CMM,23.363000000000003,40.253
CMM,23.221,40.256
CMM,0.353,40.305
CMM,0.467,40.397
CMM,0.463,40.487
CMM,0.6920000000000001,40.671
CMM,24.367,40.917
CMM,1.0,41.0
CMM,1.1,41.1
CMM,2.1,41.1
CMM,9.379,41.535
CMM,12.300999999999998,41.734
CMM,3.179,41.865
CMM,9.408,41.942
CMM,19.155,42.008
CMM,35.13,42.02
CMM,9.479,42.056
CMM,8.775,42.555
CMM,13.921,44.771
CMM,13.803,44.893
CMM,13.688,45.488
CMM,13.524,45.812
