Subsp_Ritaxa,long,lat
Caede_CM9,-76.41,37.37045
Caede_CM9,-76.33,37.68717
Caede_CM9,-76.308,37.81964
Caede_CM9,-76.51,38.02398
Caede_CM9,-76.512,38.5175
Caede_CM9,-76.523,38.6422
Caede_CM9,-76.495,38.88219
Caede_CM9,-74.94800000000002,38.9325
Caede_CM9,-74.905,38.9329
Caede_CM9,-74.518,39.317
Caede_CM9,-75.391,39.3609
Caede_CM9,-74.13600000000002,40.539
Caede_CM9,-73.975,40.5724
Caede_CM9,-74.084,40.5734
Caede_CM9,-73.809,40.5833
Caede_CM9,-73.605,40.586
Caede_CM9,-74.059,40.6
Caede_CM9,-72.616,40.8012
