Subsp_Ritaxa,long,lat
Caede_LUD3,-82.462,41.38557
Caede_LUD3,-82.57,41.407292
Caede_LUD3,-82.166,41.47426
Caede_LUD3,-81.782,41.49576
Caede_LUD3,-82.928,41.51437
Caede_LUD3,-82.85600000000002,41.57336
Caede_LUD3,-83.243,41.65336
Caede_LUD3,-83.454,41.73521
Caede_LUD3,-80.994,41.8544
Caede_LUD3,-82.509,41.9187
Caede_LUD3,-80.655,41.9384
Caede_LUD3,-80.185,42.0938
Caede_LUD3,-79.503,42.3825
Caede_LUD3,-78.878,42.76575
Caede_LUD3,-77.055,43.27654
Caede_LUD3,-77.689,43.295
Caede_LUD3,-78.793,43.32498
Caede_LUD3,-76.73899999999998,43.3355
Caede_LUD3,-76.281,43.5175
Caede_LUD3,-76.06,43.98791
Caede_LUD3,-77.733,44.0
