Subsp_Ritaxa,long,lat
Caede_PJ19,-73.352,41.10588
Caede_PJ19,-70.13,41.24641
Caede_PJ19,-72.926,41.26686
Caede_PJ19,-72.45100000000002,41.279
Caede_PJ19,-72.105,41.307
Caede_PJ19,-70.697,41.3437
Caede_PJ19,-71.619,41.3625
Caede_PJ19,-71.501,41.37341
Caede_PJ19,-71.531,41.37721
Caede_PJ19,-71.25399999999998,41.4876
Caede_PJ19,-71.045,41.50100000000001
Caede_PJ19,-71.407,41.588
Caede_PJ19,-71.305,41.6722
Caede_PJ19,-70.298,41.732
Caede_PJ19,-71.367,41.7658
Caede_PJ19,-70.631,41.9979
Caede_PJ19,-70.747,42.218
Caede_PJ19,-70.928,42.3208
Caede_PJ19,-70.939,42.44300000000001
Caede_PJ19,-70.75,42.6812
Caede_PJ19,-70.77600000000002,42.7162
Caede_PJ19,-70.797,42.9331
Caede_PJ19,-70.593,43.201
Caede_PJ19,-70.524,43.3422
Caede_PJ19,-69.818,43.7291
Caede_PJ19,-70.18,43.74061
Caede_PJ19,-69.491,43.8653
Caede_PJ19,-66.192,44.089
Caede_PJ19,-69.046,44.2175
Caede_PJ19,-68.531,44.224
Caede_PJ19,-68.23100000000001,44.2567
Caede_PJ19,-68.979,44.4267
Caede_PJ19,-67.315,44.6609
Caede_PJ19,-60.23,45.7337
Caede_PJ19,-63.033,46.05
Caede_PJ19,-62.54600000000001,46.17081
Caede_PJ19,-64.45,46.233
Caede_PJ19,-64.75,47.783
Caede_PJ19,-54.507,49.36898
Caede_PJ19,-54.8,49.667
