Subsp_Ritaxa,long,lat
Calan_C19,-86.837,20.434
Calan_C19,-90.471,20.633000000000006
Calan_C19,-87.057,20.643
Calan_C19,-90.386,20.899
Calan_C19,-90.386,20.9
Calan_C19,-90.381,20.916
Calan_C19,-90.361,20.97
Calan_C19,-90.266,21.055
Calan_C19,-90.094,21.156
Calan_C19,-89.971,21.19
Calan_C19,-89.958,21.196
Calan_C19,-86.713,21.204
Calan_C19,-86.71600000000002,21.205
Calan_C19,-89.929,21.211
Calan_C19,-86.74799999999998,21.261
Calan_C19,-86.749,21.263
Calan_C19,-89.23899999999998,21.346
Calan_C19,-89.227,21.348000000000006
Calan_C19,-87.524,21.485
Calan_C19,-87.796,21.538
Calan_C19,-87.25200000000002,21.539
Calan_C19,-87.35700000000001,21.542
Calan_C19,-87.22399999999998,21.542
Calan_C19,-87.14,21.572
Calan_C19,-87.13600000000002,21.577
Calan_C19,-87.889,21.581
Calan_C19,-87.956,21.606
Calan_C19,-89.64200000000002,22.372
Calan_C19,-89.616,22.475
Calan_C19,-89.694,22.49
Calan_C19,-89.652,22.529
