Subsp_Ritaxa,long,lat
Camar_1396C,-5.6110000000000015,36.003
Camar_1396C,-6.035,36.1851
Camar_1396C,-6.0939999999999985,36.2737
Camar_1396C,-6.127999999999999,36.29625
Camar_1396C,-6.192,36.37487
Camar_1396C,-6.229,36.5398
Camar_1396C,-6.442,36.73594
Camar_1396C,-7.786,37.0207
Camar_1396C,-8.1,37.0662
Camar_1396C,-8.215,37.08751
Camar_1396C,-7.62,37.11073
Camar_1396C,-7.511,37.1668
Camar_1396C,-6.952000000000001,37.1694
Camar_1396C,-9.182,38.51388
Camar_1396C,-8.847000000000003,40.3245
Camar_1396C,-8.82,41.78
Camar_1396C,-9.0,42.0
Camar_1396C,-8.0,42.0
Camar_1396C,-9.1,42.1
Camar_1396C,-8.1,42.1
Camar_1396C,-8.863,42.441
Camar_1396C,-9.1,42.57
Camar_1396C,-9.091,42.573
Camar_1396C,-9.092,42.879
Camar_1396C,-9.141,42.88800000000001
Camar_1396C,-9.129,42.90600000000001
Camar_1396C,-9.264,43.014
Camar_1396C,-2.131,43.291
Camar_1396C,-3.117,43.348
Camar_1396C,-8.1,43.352
Camar_1396C,-7.1,43.352
Camar_1396C,-6.1,43.352
Camar_1396C,-5.1,43.352
Camar_1396C,-4.1,43.352
Camar_1396C,-3.1,43.352
Camar_1396C,-2.1,43.352
Camar_1396C,-1.1,43.352
Camar_1396C,-3.117,43.357
Camar_1396C,-3.464,43.464
Camar_1396C,-1.547,43.50100000000001
Camar_1396C,-6.74,43.54
Camar_1396C,-6.61,43.54
Camar_1396C,-6.68,43.55
Camar_1396C,-8.195,43.574
Camar_1396C,-8.0,43.5757
Camar_1396C,-6.0,43.5757
Camar_1396C,-4.0,43.5757
Camar_1396C,-3.0,43.5757
Camar_1396C,-2.0,43.5757
Camar_1396C,-1.617,46.435
Camar_1396C,-1.624,46.53
Camar_1396C,-2.402,47.405
Camar_1396C,-3.064,47.43
Camar_1396C,-3.184,47.627
Camar_1396C,-3.996,47.705
Camar_1396C,-4.864,47.97
Camar_1396C,-4.504,48.33
Camar_1396C,-4.504,48.69
Camar_1396C,-1.984,48.69
Camar_1396C,-3.075,48.877
Camar_1396C,-1.624,49.05
Camar_1396C,-1.624,49.23
Camar_1396C,-0.184,49.23
Camar_1396C,0.17600000000000002,49.23
Camar_1396C,-1.624,49.41
Camar_1396C,0.17600000000000002,49.41
Camar_1396C,-1.264,49.59
Camar_1396C,-1.264,49.77
Camar_1396C,-6.4579999999999975,49.904
Camar_1396C,-6.4579999999999975,49.904
Camar_1396C,-6.319,49.91
Camar_1396C,-5.492000000000001,50.028
Camar_1396C,-5.353,50.032
Camar_1396C,-5.638,50.113
Camar_1396C,-5.499,50.117
Camar_1396C,-5.08,50.129
Camar_1396C,-4.94,50.133
Camar_1396C,-4.94,50.133
Camar_1396C,-3.821,50.15600000000001
Camar_1396C,-4.945,50.223
Camar_1396C,-4.805,50.226000000000006
Camar_1396C,-4.805,50.226000000000006
Camar_1396C,-3.965,50.243
Camar_1396C,-3.684,50.24800000000001
Camar_1396C,-5.231,50.305
Camar_1396C,-4.67,50.319
Camar_1396C,-4.39,50.325
Camar_1396C,-5.237,50.395
Camar_1396C,-5.097,50.399
Camar_1396C,-5.103,50.488
Camar_1396C,1.616,50.49
Camar_1396C,-4.962,50.492
Camar_1396C,-3.415,50.611
Camar_1396C,-3.132,50.614
Camar_1396C,-1.295,50.618
Camar_1396C,-2.425,50.619
Camar_1396C,-1.577,50.619
Camar_1396C,-2.001,50.62
Camar_1396C,-2.001,50.62
Camar_1396C,-1.152,50.707
Camar_1396C,-1.152,50.707
Camar_1396C,-4.5539999999999985,50.772
Camar_1396C,0.268,50.778
Camar_1396C,-0.583,50.791
Camar_1396C,-1.008,50.795
Camar_1396C,-1.2919999999999998,50.797
Camar_1396C,1.616,50.85
Camar_1396C,0.84,50.855
Camar_1396C,-3.426,50.971
Camar_1396C,-4.284,51.047
Camar_1396C,-3.574,51.149
Camar_1396C,-3.145,51.154
Camar_1396C,-3.004,51.245
Camar_1396C,1.297,51.293
Camar_1396C,0.868,51.304
Camar_1396C,-3.437,51.33
Camar_1396C,-3.15,51.333
Camar_1396C,-3.006,51.335
Camar_1396C,4.17,51.35
Camar_1396C,3.341,51.37
Camar_1396C,3.4130000000000003,51.371
Camar_1396C,1.304,51.382
Camar_1396C,-3.727,51.416
Camar_1396C,3.554,51.418
Camar_1396C,3.698,51.42
Camar_1396C,3.4810000000000003,51.462
Camar_1396C,-4.162,51.499
Camar_1396C,-4.018,51.502
Camar_1396C,3.479,51.507
Camar_1396C,-9.153,51.518
Camar_1396C,-5.176,51.566
Camar_1396C,-5.032,51.57
Camar_1396C,-4.888,51.573
Camar_1396C,0.885,51.573
Camar_1396C,0.885,51.573
Camar_1396C,-4.743,51.577
Camar_1396C,-4.743,51.577
Camar_1396C,-4.455,51.583
Camar_1396C,-4.311,51.58600000000001
Camar_1396C,-4.167,51.589
Camar_1396C,-3.878,51.594
Camar_1396C,3.619,51.599
Camar_1396C,3.691,51.6
Camar_1396C,3.764,51.601000000000006
Camar_1396C,3.98,51.604
Camar_1396C,4.123,51.65
Camar_1396C,-5.182,51.65600000000001
Camar_1396C,-4.749,51.667
Camar_1396C,0.746,51.667
Camar_1396C,-10.17,51.683
Camar_1396C,-9.592,51.692
Camar_1396C,3.903,51.738
Camar_1396C,3.902,51.783
Camar_1396C,3.9,51.828
Camar_1396C,3.973,51.82899999999999
Camar_1396C,4.118,51.83
Camar_1396C,4.044,51.874
Camar_1396C,4.043,51.919
Camar_1396C,-5.2010000000000005,51.925
Camar_1396C,4.114,51.965
Camar_1396C,4.187,51.966
Camar_1396C,-7.71,51.972
Camar_1396C,1.35,52.011
Camar_1396C,-4.916,52.022
Camar_1396C,-10.624,52.033
Camar_1396C,-10.478,52.036
Camar_1396C,-10.041,52.045
Camar_1396C,-7.126,52.059
Camar_1396C,1.211,52.105
Camar_1396C,-4.339,52.125
Camar_1396C,-10.483,52.12600000000001
Camar_1396C,-6.54,52.143
Camar_1396C,-6.54,52.143
Camar_1396C,-6.8320000000000025,52.147
Camar_1396C,-6.978,52.148
Camar_1396C,-7.124,52.149
Camar_1396C,-7.27,52.15
Camar_1396C,1.51,52.18600000000001
Camar_1396C,-10.05,52.224
Camar_1396C,-9.903,52.227
Camar_1396C,-6.83,52.236
Camar_1396C,-6.83,52.236
Camar_1396C,1.663,52.271
Camar_1396C,1.517,52.276
Camar_1396C,-9.907,52.317
Camar_1396C,-6.534,52.323
Camar_1396C,-6.534,52.323
Camar_1396C,4.544,52.328
Camar_1396C,1.67,52.361
Camar_1396C,4.543,52.37300000000001
Camar_1396C,-4.206,52.397
Camar_1396C,-4.059,52.4
Camar_1396C,-6.384,52.411
Camar_1396C,4.541,52.463
Camar_1396C,-9.621,52.50100000000001
Camar_1396C,-6.23,52.588
Camar_1396C,-6.377999999999999,52.591
Camar_1396C,1.693,52.63
Camar_1396C,1.545,52.635
Camar_1396C,-4.072,52.67
Camar_1396C,-9.627,52.68
Camar_1396C,4.6110000000000015,52.688
Camar_1396C,-4.52,52.75100000000001
Camar_1396C,-4.822,52.834
Camar_1396C,-4.674,52.837
Camar_1396C,-4.377,52.844
