Subsp_Ritaxa,long,lat
Camar_CAR28,-117.125,32.55
Camar_CAR28,-117.127,32.553000000000004
Camar_CAR28,-117.135,32.613
Camar_CAR28,-117.203,32.687
Camar_CAR28,-117.253,32.769
Camar_CAR28,-117.222,32.776
Camar_CAR28,-118.578,32.995
Camar_CAR28,-118.595,33.03
Camar_CAR28,-117.307,33.068000000000005
Camar_CAR28,-117.312,33.085
Camar_CAR28,-117.316,33.094
Camar_CAR28,-119.44,33.225
Camar_CAR28,-119.462,33.251999999999995
Camar_CAR28,-119.474,33.258
Camar_CAR28,-119.553,33.274
Camar_CAR28,-117.479,33.306999999999995
Camar_CAR28,-118.307,33.314
Camar_CAR28,-117.525,33.348
Camar_CAR28,-118.478,33.443000000000005
Camar_CAR28,-120.098,33.966
Camar_CAR28,-119.999,33.978
Camar_CAR28,-119.876,34.024
Camar_CAR28,-120.336,34.045
Camar_CAR28,-120.446,35.382
Camar_CAR28,-121.0,36.0
Camar_CAR28,-121.311,36.239
Camar_CAR28,-121.93,36.552
Camar_CAR28,-121.886,36.979
Camar_CAR28,-122.0,37.0
Camar_CAR28,-122.007,37.026
Camar_CAR28,-122.411,37.26300000000001
Camar_CAR28,-122.356,37.437
Camar_CAR28,-122.432,37.462
Camar_CAR28,-122.512,37.529
Camar_CAR28,-122.506,37.736
Camar_CAR28,-122.495,37.74800000000001
Camar_CAR28,-122.555,37.793
Camar_CAR28,-122.576,37.86
Camar_CAR28,-122.642,37.901
Camar_CAR28,-122.642,37.901
Camar_CAR28,-122.642,37.901
Camar_CAR28,-122.419,37.955
Camar_CAR28,-123.0,38.0
Camar_CAR28,-122.0,38.0
Camar_CAR28,-122.996,38.001
Camar_CAR28,-122.743,38.035
Camar_CAR28,-122.98,38.232
Camar_CAR28,-123.061,38.312
Camar_CAR28,-123.064,38.352
Camar_CAR28,-122.929,38.51300000000001
Camar_CAR28,-123.432,39.431
Camar_CAR28,-124.251,41.783
Camar_CAR28,-124.285,42.04600000000001
Camar_CAR28,-124.291,42.049
Camar_CAR28,-124.421,42.333
Camar_CAR28,-124.414,42.43
Camar_CAR28,-124.23,42.473
Camar_CAR28,-124.398,42.542
Camar_CAR28,-124.398,42.542
Camar_CAR28,-124.384,42.56
Camar_CAR28,-124.443,42.68899999999999
Camar_CAR28,-124.484,42.74100000000001
Camar_CAR28,-124.0,43.167
Camar_CAR28,-124.092,43.185
Camar_CAR28,-123.181,43.287
Camar_CAR28,-124.306,43.362
Camar_CAR28,-122.876,43.948
Camar_CAR28,-124.099,43.983
Camar_CAR28,-124.099,43.983
Camar_CAR28,-124.13,44.034
Camar_CAR28,-124.104,44.31100000000001
Camar_CAR28,-124.026,44.408
Camar_CAR28,-123.428,44.497
Camar_CAR28,-124.052,44.538
Camar_CAR28,-124.044,44.619
Camar_CAR28,-123.998,44.622
Camar_CAR28,-123.908,44.642
Camar_CAR28,-123.958,45.285
Camar_CAR28,-123.758,45.456
Camar_CAR28,-123.91,45.56
Camar_CAR28,-123.96,45.892
Camar_CAR28,-123.921,45.993
Camar_CAR28,-123.711,46.006
Camar_CAR28,-123.944,46.121
Camar_CAR28,-123.989,46.224
Camar_CAR28,-124.071,46.308
Camar_CAR28,-123.781,46.56100000000001
Camar_CAR28,-123.576,47.844
Camar_CAR28,-123.931,48.11
Camar_CAR28,-122.92,48.128
Camar_CAR28,-122.576,48.154
Camar_CAR28,-122.707,48.19300000000001
Camar_CAR28,122.675,48.293
Camar_CAR28,-122.823,48.42100000000001
Camar_CAR28,-122.906,48.438
Camar_CAR28,-122.97,48.53100000000001
Camar_CAR28,-122.558,48.535
Camar_CAR28,-122.854,48.545
Camar_CAR28,-122.973,48.57
Camar_CAR28,-123.033,48.591
Camar_CAR28,-123.019,48.595
Camar_CAR28,-123.024,48.598
Camar_CAR28,-123.026,48.599
Camar_CAR28,-123.017,48.603
Camar_CAR28,-122.955,48.608
Camar_CAR28,-123.185,48.625
Camar_CAR28,-122.986,48.639
Camar_CAR28,-123.078,48.648
Camar_CAR28,-122.891,48.757
Camar_CAR28,-122.888,48.764
