Subsp_Ritaxa,long,lat
Erhis_2055F,34.858000000000004,31.515
Erhis_2055F,34.885,31.52
Erhis_2055F,34.909,31.528
Erhis_2055F,34.886,31.535
Erhis_2055F,34.906,31.568
Erhis_2055F,34.577,31.571
Erhis_2055F,34.931,31.657
Erhis_2055F,35.03,31.82
Erhis_2055F,34.784,31.84
Erhis_2055F,34.866,31.854
Erhis_2055F,34.775,31.923
Erhis_2055F,34.776,31.925
Erhis_2055F,34.796,31.943
Erhis_2055F,35.391,32.035
Erhis_2055F,34.813,32.209
Erhis_2055F,34.854,32.22
Erhis_2055F,34.855,32.22
Erhis_2055F,34.857,32.22
Erhis_2055F,34.854,32.221
Erhis_2055F,34.82,32.228
Erhis_2055F,34.865,32.229
Erhis_2055F,34.822,32.231
Erhis_2055F,34.828,32.243
Erhis_2055F,34.836,32.256
Erhis_2055F,35.549,32.258
Erhis_2055F,35.54,32.262
Erhis_2055F,35.47,32.341
Erhis_2055F,34.873000000000005,32.367
Erhis_2055F,35.02,32.441
Erhis_2055F,35.431,32.447
Erhis_2055F,35.036,32.475
Erhis_2055F,35.0,32.509
Erhis_2055F,35.508,32.619
Erhis_2055F,34.97,32.649
Erhis_2055F,35.032,32.65
Erhis_2055F,34.969,32.67
Erhis_2055F,35.527,32.672
Erhis_2055F,35.631,32.695
Erhis_2055F,35.709,32.72
Erhis_2055F,35.645,32.736999999999995
Erhis_2055F,35.708,32.751999999999995
Erhis_2055F,35.656,32.77
Erhis_2055F,35.66300000000001,32.772
Erhis_2055F,35.116,32.847
Erhis_2055F,35.84900000000001,32.9
Erhis_2055F,35.84900000000001,32.901
Erhis_2055F,35.73900000000001,32.901
Erhis_2055F,35.742,32.904
Erhis_2055F,35.744,32.906
Erhis_2055F,35.744,32.907
Erhis_2055F,35.747,32.91
Erhis_2055F,35.625,32.988
Erhis_2055F,35.675,33.234
Erhis_2055F,35.691,33.245
Erhis_2055F,35.69,33.247
Erhis_2055F,35.691,33.248000000000005
Erhis_2055F,45.583,34.517
Erhis_2055F,25.412,35.003
Erhis_2055F,24.933000000000003,35.067
Erhis_2055F,27.767,35.917
Erhis_2055F,27.767,35.933
Erhis_2055F,27.75,35.95
Erhis_2055F,27.762,35.956
Erhis_2055F,-4.0,36.0
Erhis_2055F,-3.0,36.0
Erhis_2055F,27.88300000000001,36.0
Erhis_2055F,28.1,36.15
Erhis_2055F,28.167,36.317
Erhis_2055F,-3.45,36.68
Erhis_2055F,-3.392,36.729
Erhis_2055F,24.433000000000003,36.733
Erhis_2055F,25.083,37.033
Erhis_2055F,25.15,37.083
Erhis_2055F,25.167,37.083
Erhis_2055F,25.417,37.083
Erhis_2055F,25.15,37.1
Erhis_2055F,25.4,37.1
Erhis_2055F,26.767,37.283
Erhis_2055F,24.95,37.383
Erhis_2055F,24.88300000000001,37.4
Erhis_2055F,24.9,37.4
Erhis_2055F,24.9,37.45
Erhis_2055F,23.033,37.833
Erhis_2055F,23.63300000000001,37.95
Erhis_2055F,23.733,37.967
Erhis_2055F,-0.1,38.1
Erhis_2055F,-0.71,38.29
Erhis_2055F,-0.535,38.34779
Erhis_2055F,-0.49,38.35
Erhis_2055F,-0.5164,38.3595
Erhis_2055F,-0.46,38.38
Erhis_2055F,-0.53,38.39
Erhis_2055F,-0.517,38.3996
Erhis_2055F,-0.82,38.5
Erhis_2055F,-0.501,38.5402
Erhis_2055F,-5.359,39.41639
Erhis_2055F,-2.001,50.71
Erhis_2055F,-0.015,50.783
Erhis_2055F,-0.279,51.326
Erhis_2055F,-2.721,51.427
Erhis_2055F,-0.117,51.774
Erhis_2055F,-0.401,51.958
Erhis_2055F,-0.51,53.038
Erhis_2055F,-3.279,55.827
Erhis_2055F,-3.282,55.916
Erhis_2055F,-2.971,56.279
Erhis_2055F,10.761,59.899
Erhis_2055F,10.390999999999998,63.396
Erhis_2055F,10.390999999999998,63.396
Erhis_2055F,10.390999999999998,63.396
Erhis_2055F,10.356,63.40600000000001
Erhis_2055F,10.356,63.40600000000001
