LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP,Correlated
agclim.current.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,current,current,no
agclim.current.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,current,current,no
agclim.current.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,current,current,no
agclim.current.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,current,current,no
agclim.current.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,current,current,no
agclim.he2650.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2050,26,no
agclim.he2650.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2050,26,no
agclim.he2650.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2050,26,no
agclim.he2650.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2050,26,no
agclim.he2650.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2050,26,no
agclim.he2670.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2070,26,no
agclim.he2670.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2070,26,no
agclim.he2670.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2070,26,no
agclim.he2670.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2070,26,no
agclim.he2670.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2070,26,no
agclim.he4550.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2050,45,no
agclim.he4550.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2050,45,no
agclim.he4550.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2050,45,no
agclim.he4550.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2050,45,no
agclim.he4550.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2050,45,no
agclim.he4570.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2070,45,no
agclim.he4570.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2070,45,no
agclim.he4570.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2070,45,no
agclim.he4570.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2070,45,no
agclim.he4570.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2070,45,no
agclim.he6050.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2050,60,no
agclim.he6050.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2050,60,no
agclim.he6050.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2050,60,no
agclim.he6050.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2050,60,no
agclim.he6050.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2050,60,no
agclim.he6070.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2070,60,no
agclim.he6070.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2070,60,no
agclim.he6070.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2070,60,no
agclim.he6070.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2070,60,no
agclim.he6070.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2070,60,no
agclim.he8550.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2050,85,no
agclim.he8550.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2050,85,no
agclim.he8550.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2050,85,no
agclim.he8550.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2050,85,no
agclim.he8550.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2050,85,no
agclim.he8570.aridity,agclimate,aridity,CRU Metric of Mean Annual Aridity,CRU Metric of Mean Annual Aridity,2070,85,no
agclim.he8570.bio06,agclimate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month,2070,85,no
agclim.he8570.bio12,agclimate,bio12,Annual Precipitation,Annual Precipitation,2070,85,no
agclim.he8570.gdd5,agclimate,gdd5,Growing Degree Days 5C Baseline,Growing Degree Days 5C Baseline,2070,85,no
agclim.he8570.petmn,agclimate,petmn,CRU Mean Annual Evapotranspiration,CRU Mean Annual Evapotranspiration,2070,85,no
clim.ac4550.bio01,climate,bio01,Annual Mean Temperature,Annual Mean Temperature AC RCP45 2050,2050,45,no
clim.ac4550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation AC RCP45 2050,2050,45,no
clim.ac4550.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) AC RCP45 2050,2050,45,no
clim.ac4550.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter AC RCP45 2050,2050,45,no
clim.ac4550.bio07,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) AC RCP45 2050,2050,45,no
clim.ac4550.bio08,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter AC RCP45 2050,2050,45,no
clim.ac4570.bio01,climate,bio01,Annual Mean Temperature,Annual Mean Temperature AC RCP45 2070,2070,45,no
clim.ac4570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation AC RCP45 2070,2070,45,no
clim.ac4570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) AC RCP45 2070,2070,45,no
clim.ac4570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter AC RCP45 2070,2070,45,no
clim.ac4570.bio07,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) AC RCP45 2070,2070,45,no
clim.ac4570.bio08,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter AC RCP45 2070,2070,45,no
clim.current.bio01,climate,bio01,Annual Mean Temperature,Annual Mean Temperature Current Climate 1960-2000,current,current,no
clim.current.bio12,climate,bio12,Annual Precipitation,Annual Precipitation Current Climate 1960-2000,current,current,no
clim.current.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) Current Climate 1960-2000,current,current,no
clim.current.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter Current Climate 1960-2000,current,current,no
clim.current.bio07,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) Current Climate 1960-2000,current,current,no
clim.current.bio08,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter Current Climate 1960-2000,current,current,no
clim.gd4550.bio01,climate,bio01,Annual Mean Temperature,Annual Mean Temperature GD RCP45 2050,2050,45,no
clim.gd4550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation GD RCP45 2050,2050,45,no
