taxa,shapefile present,n occurences,date downloaded,Family,BONAP ID,Group
hemigraphis_reptans,shape,1,Wed Jan 28 21:24:50 2015,Acanthaceae,BP009564,1
hygrophila_corymbosa,shape,1,Wed Jan 28 21:44:33 2015,Acanthaceae,BP010009,1
ruellia_drushelii,shape,1,Thu Jan 29 05:49:00 2015,Acanthaceae,BP017555,1
sanchezia_parvibracteata,shape,1,Thu Jan 29 04:32:06 2015,Acanthaceae,BP017934,1
avicennia_marina,shape,2,Wed Jan 28 17:41:02 2015,Acanthaceae,BP002201,1
eranthemum_pulchellum,shape,2,Wed Jan 28 20:39:18 2015,Acanthaceae,BP007373,1
justicia_carnea,shape,2,Wed Jan 28 22:02:20 2015,Acanthaceae,BP010732,1
nelsonia_canescens,shape,2,Wed Jan 28 23:36:07 2015,Acanthaceae,BP013407,1
pseuderanthemum_variabile,shape,2,Thu Jan 29 01:20:53 2015,Acanthaceae,BP016445,1
ruellia_davisiorum,shape,2,Thu Jan 29 01:54:18 2015,Acanthaceae,BP017552,1
thunbergia_erecta,shape,3,Thu Jan 29 03:05:06 2015,Acanthaceae,BP019982,1
acanthus_mollis,shape,4,Wed Jan 28 16:36:19 2015,Acanthaceae,BP000123,1
justicia_warnockii,shape,4,Wed Jan 28 22:08:35 2015,Acanthaceae,BP010744,1
carlowrightia_mexicana,shape,5,Wed Jan 28 18:23:18 2015,Acanthaceae,BP003809,1
carlowrightia_parvifolia,shape,5,Wed Jan 28 18:29:22 2015,Acanthaceae,BP003811,1
dyschoriste_crenulata,shape,5,Wed Jan 28 20:07:25 2015,Acanthaceae,BP006906,1
justicia_cooleyi,shape,6,Wed Jan 28 22:01:51 2015,Acanthaceae,BP010733,1
justicia_sonorae,shape,6,Wed Jan 28 22:07:11 2015,Acanthaceae,BP010741,1
graptophyllum_pictum,shape,8,Wed Jan 28 21:14:57 2015,Acanthaceae,BP009164,1
justicia_crassifolia,shape,8,Wed Jan 28 22:02:40 2015,Acanthaceae,BP010734,1
thunbergia_grandiflora,shape,8,Thu Jan 29 03:06:19 2015,Acanthaceae,BP019984,1
anisacanthus_puberulus,shape,9,Wed Jan 28 17:07:39 2015,Acanthaceae,BP001024,1
asystasia_gangetica,shape,10,Wed Jan 28 17:24:10 2015,Acanthaceae,BP002079,1
justicia_wrightii,shape,10,Wed Jan 28 22:08:42 2015,Acanthaceae,BP010745,1
barleria_cristata,shape,11,Wed Jan 28 17:44:23 2015,Acanthaceae,BP002308,1
carlowrightia_torreyana,shape,11,Wed Jan 28 18:37:57 2015,Acanthaceae,BP003814,1
ruellia_corzoi,shape,11,Thu Jan 29 01:54:00 2015,Acanthaceae,BP017551,1
yeatesia_platystegia,shape,11,Thu Jan 29 03:48:07 2015,Acanthaceae,BP021246,1
dyschoriste_angusta,shape,12,Wed Jan 28 20:07:43 2015,Acanthaceae,BP006905,1
hypoestes_phyllostachya,shape,13,Wed Jan 28 21:41:40 2015,Acanthaceae,BP010155,1
anisacanthus_linearis,shape,15,Wed Jan 28 17:06:19 2015,Acanthaceae,BP001023,1
justicia_turneri,shape,17,Wed Jan 28 22:08:03 2015,Acanthaceae,BP010743,1
ruellia_brevifolia,shape,18,Thu Jan 29 01:58:16 2015,Acanthaceae,BP017548,1
ruellia_metziae,shape,23,Thu Jan 29 01:53:59 2015,Acanthaceae,BP017558,1
