Bio1,Annual Mean Temperature
Bio2,Mean Diurnal Range (Mean of monthly (max temp - min temp))
Bio3,Isothermality (BIO2/BIO7) (* 100)
Bio4,Temperature Seasonality (standard deviation *100)
Bio5,Max Temperature of Warmest Month
Bio6,Min Temperature of Coldest Month
Bio7,Temperature Annual Range (BIO5-BIO6)
Bio8,Mean Temperature of Wettest Quarter
Bio9,Mean Temperature of Driest Quarter
Bio10,Mean Temperature of Warmest Quarter
Bio11,Mean Temperature of Coldest Quarter
Bio12,Annual Precipitation
Bio13,Precipitation of Wettest Month
Bio14,Precipitation of Driest Month
Bio15,Precipitation Seasonality (Coefficient of Variation)
Bio16,Precipitation of Wettest Quarter
Bio17,Precipitation of Driest Quarter
Bio18,Precipitation of Warmest Quarter
Bio19,Precipitation of Coldest Quarter
